,Food,Size,Calories,Fat,Carbs,Protein
161,,29 fl oz,0,0,0,0
162,,40 fl oz,0,0,0,0
163,Capri Sun® 100% Apple Juice,1 pouch,80,0,20,0
164,Minute Maid® Orange Juice,10 fl oz,140,0,33,2
165,Seattle's Best Coffee® - Decaf,16 fl oz,0,0,0,0
166,,20 fl oz,0,0,0,0
167,Seattle's Best Coffee®- Regular,16 fl oz,0,0,0,0
168,,20 fl oz,0,0,0,0
169,Iced Coffees,Medium,150,8,19,1
170,,Medium-VANILLA,190,8,28,1
171,,Medium MOCHA,170,8,23,2
172,Mocha Frappe,16 fl oz,400,16,60,3
173,Caramel Frappe,16 fl oz,410,16,63,3
174,Rodeo Crispy Chicken Sandwich,,410,17,53,12
175,Rodeo Burger,,310,12,38,12
