,Food,Variety,Calories,Fat,Carbs,Protein
355,,SMALL,880,40,118,12
356,,MEDIUM,1260,54,178,17
357,,LARGE,1890,81,265,27
358,OREO® CHEESECAKE SHAKE,MINI,770,36,103,10
359,,SMALL,850,40,113,11
360,,MEDIUM,1210,53,169,16
361,,LARGE,1810,80,251,24
362,OREO® CHOCOLATE MALT,MINI,770,33,107,9
363,,SMALL,850,38,116,10
364,,MEDIUM,1110,48,152,14
365,,LARGE,1800,73,261,22
366,OREO® CHOCOLATE SHAKE,MINI,740,33,102,8
367,,SMALL,830,37,112,9
368,,MEDIUM,1060,47,143,12
369,,LARGE,1730,71,248,19
370,OREO® PEANUT BUTTER MALT,MINI,820,50,84,12
371,,SMALL,910,54,94,14
372,,MEDIUM,1320,81,131,21
373,,LARGE,1970,122,194,33
374,OREO® PEANUT BUTTER SHAKE,MINI,800,49,80,12
375,,SMALL,880,54,90,13
376,,MEDIUM,1260,80,12,19
377,,LARGE,1890,121,181,30
378,PEANUT BUTTER FUDGE MALT,MINI,790,48,80,12
379,,SMALL,850,51,87,13
380,,MEDIUM,1310,80,133,21
381,,LARGE,2020,123,207,33
382,PEANUT BUTTER FUDGE SHAKE,MINI,760,47,76,11
383,,SMALL,820,51,83,12
384,,MEDIUM,1260,79,124,19
385,,LARGE,1940,122,193,30
386,STRAWBERRY BANANA MALT,MINI,600,28,82,9
387,,SMALL,670,32,89,10
388,,MEDIUM,880,41,119,13
389,,LARGE,1410,64,194,22
390,STRAWBERRY BANANA SHAKE,MINI,580,28,77,8
391,,SMALL,640,31,84,9
392,,MEDIUM,830,40,110,12
393,,LARGE,1330,62,180,19
394,STRAWBERRY CHEESECAKE MALT,MINI,700,31,97,10
395,,SMALL,760,34,104,11
396,,MEDIUM,1130,46,167,16
397,,LARGE,1750,72,258,25
398,STRAWBERRY CHEESECAKE SHAKE,MINI,670,30,93,9
399,,SMALL,730,34,100,10
400,,MEDIUM,1080,45,158,14
401,,LARGE,1680,70,244,23
402,NUTS - ADD-ON,,20,2,1,1
403,CARAMEL REAL ICE CREAM SUNDAE,,510,23,69,6
404,CHOCOLATE REAL ICE CREAM SUNDAE,,500,22,69,6
405,HOT FUDGE REAL ICE CREAM SUNDAE,,520,26,64,7
406,PINEAPPLE REAL ICE CREAM SUNDAE,,440,22,55,6
407,STRAWBERRY REAL ICE CREAM SUNDAE,,430,22,53,6
408,FUDGE BROWNIE MOLTEN CAKE SUNDAE,,800,34,117,8
409,STRAWBERRY BANANA SPLIT MOLTEN CAKE SUNDAE,,720,28,113,8
410,TURTLE MOLTEN CAKE SUNDAE,,850,38,119,8
411,M&M’S® CHOCOLATE CANDIES & STRAWBERRY,,470,20,66,6
412,REESE’S® PEANUT BUTTER CUPS & CHOCOLATE,,460,17,68,7
413,SNICKERS® BARS & CARAMEL,,450,19,63,6
414,VANILLA CONE,,250,13,31,4
415,VANILLA WAFFLE CONE,,320,15,43,5
416,PINEAPPLE REAL FRUIT SLUSH,SMALL,190,0,51,0
417,,MEDIUM,280,0,75,0
418,,LARGE,450,0,119,0
419,,RT 44®,620,0,163,0
420,STRAWBERRY REAL FRUIT SLUSH,SMALL,190,0,50,0
421,,MEDIUM,280,0,73,0
422,,LARGE,440,0,117,0
423,,RT 44®,600,0,160,0
424,BLUE COCONUT WITH POPPING CANDY SLUSH,SMALL,290,2,72,0
425,,MEDIUM,420,3,105,0
426,,LARGE,630,4,158,0
427,,RT 44®,840,5,211,0
428,BLUE RASPBERRY WITH JOLLY RANCHER® HARD CANDY SLUSH,SMALL,290,2,71,0
429,,MEDIUM,420,2.5,103,0
430,,LARGE,630,3.5,156,0
431,,RT 44®,840,4.5,209,0
432,BLUE RASPBERRY WITH RAINBOW CANDY SLUSH,SMALL,350,0,92,0
433,,MEDIUM,500,0,131,0
434,,LARGE,730,0,190,0
435,,RT 44®,950,0,249,0
436,CHERRY WITH JOLLY RANCHER® HARD CANDY SLUSH,SMALL,290,2,72,0
437,,MEDIUM,430,2.5,106,0
438,,LARGE,640,3.5,160,0
439,,RT 44®,860,4.5,215,0
440,CHERRY WITH RAINBOW CANDY SLUSH,SMALL,360,0,93,0
441,,MEDIUM,510,0,132,0
442,,LARGE,740,0,192,0
443,,RT 44®,960,0,251,0
444,GRAPE WITH POPPING CANDY SLUSH,SMALL,290,2,74,0
445,,MEDIUM,440,3,108,0
446,,LARGE,650,4,163,0
447,,RT 44®,870,5,218,0
448,GRAPE WITH RAINBOW CANDY SLUSH,SMALL,360,0,93,0
449,,MEDIUM,510,0,133,0
450,,LARGE,740,0,193,0
451,,RT 44®,970,0,253,0
452,GREEN APPLE WITH JOLLY RANCHER® HARD CANDY SLUSH,SMALL,290,2,72,0
453,,MEDIUM,430,2.5,106,0
454,,LARGE,640,3.5,160,0
455,,RT 44®,850,4.5,214,0
456,GREEN APPLE WITH POPPING CANDY SLUSH,SMALL,290,2,73,0
457,,MEDIUM,430,3,108,0
458,,LARGE,650,4,163,0
459,,RT 44®,860,5,218,0
460,GREEN APPLE WITH RAINBOW CANDY SLUSH,SMALL,360,0,93,0
461,,MEDIUM,510,0,133,0
462,,LARGE,740,0,193,0
463,,RT 44®,970,0,253,0
464,ORANGE WITH RAINBOW CANDY SLUSH,SMALL,350,0,92,0
465,,MEDIUM,500,0,130,0
466,,LARGE,720,0,188,0
467,,RT 44®,940,0,246,0
468,WATERMELON WITH RAINBOW CANDY SLUSH,SMALL,360,0,93,0
469,,MEDIUM,510,0,132,0
470,,LARGE,730,0,191,0
471,,RT 44®,960,0,250,0
472,BLUE COCONUT SLUSH,SMALL,180,0,48,0
473,,MEDIUM,260,0,69,0
474,,LARGE,410,0,110,0
475,,RT 44®,570,0,151,0
476,BLUE RASPBERRY SLUSH,SMALL,180,0,49,0
477,,MEDIUM,260,0,70,0
478,,LARGE,420,0,112,0
479,,RT 44®,580,0,154,0
480,CHERRY SLUSH,SMALL,190,0,49,0
481,,MEDIUM,270,0,72,0
482,,LARGE,430,0,115,0
483,,RT 44®,590,0,158,0
484,GRAPE SLUSH,SMALL,190,0,50,0
485,,MEDIUM,270,0,73,0
486,,LARGE,440,0,116,0
487,,RT 44®,600,0,159,0
488,GREEN APPLE SLUSH,SMALL,190,0,50,0
489,,MEDIUM,270,0,73,0
490,,LARGE,440,0,117,0
491,,RT 44®,600,0,160,0
492,MINUTE MAID® CRANBERRY** JUICE SLUSH,SMALL,180,0,47,0
493,,MEDIUM,250,0,68,0
494,,LARGE,400,0,109,0
495,,RT 44®,560,0,149,0
496,ORANGE SLUSH,SMALL,180,0,48,0
497,,MEDIUM,260,0,69,0
498,,LARGE,410,0,110,0
499,,RT 44®,570,0,152,0
500,POWERADE® MOUNTAIN BLAST® SLUSH,SMALL,170,0,47,0
501,,MEDIUM,250,0,66,0
502,,LARGE,400,0,106,0
503,,RT 44®,540,0,146,0
504,SLUSH BASE ONLY - NO SYRUP,SMALL,170,0,46,0
505,,MEDIUM,240,0,66,0
506,,LARGE,390,0,105,0
507,,RT 44®,540,0,145,0
508,WATERMELON SLUSH,SMALL,180,0,49,0
509,,MEDIUM,270,0,72,0
510,,LARGE,430,0,114,0
511,,RT 44®,590,0,156,0
512,ALL-NATURAL LEMONADE,WACKY PACK,120,0,30,0
513,,SMALL,170,0,44,0
514,,MEDIUM,280,0,73,0
515,,LARGE,430,0,111,0
516,,RT 44®,580,0,150,0
517,FROZEN LEMONADE,WACKY PACK,160,0,43,0
518,,SMALL,180,0,50,0
519,,MEDIUM,270,0,72,0
520,,LARGE,430,0,115,0
521,,RT 44®,590,0,158,0
522,FROZEN LIMEADE,WACKY PACK,160,0,43,0
523,,SMALL,180,0,50,0
524,,MEDIUM,270,0,72,0
525,,LARGE,430,0,115,0
526,,RT 44®,590,0,158,0
527,BARQ’S® ROOT BEER,SMALL,160,0,43,0
528,,MEDIUM,190,0,52,0
529,,LARGE,310,0,83,0
530,,RT 44®,420,0,112,0
