,Food,Variety,Calories,Fat,Carbs,Protein
847,,MEDIUM,45,0,11,0
848,,LARGE,70,0,17,0
849,,RT 44®,90,0,22,0
850,POPPING CANDY ADD-IN,WACKY PACK®,50,0,12,0
851,,SMALL,110,0,24,0
852,,MEDIUM,160,0,36,0
853,,LARGE,220,0,48,0
854,,RT 44®,270,0,59,0
855,POWERADE®,WACKY PACK®,25,0,6,0
856,,SMALL,25,0,6,0
857,,MEDIUM,45,0,12,0
858,,LARGE,70,0,18,0
859,,RT 44®,90,0,25,0
860,RAINBOW CANDY ADD-IN,WACKY PACK®,120,0,30,0
861,,SMALL,170,0,44,0
862,,MEDIUM,240,0,60,0
863,,LARGE,310,0,77,0
864,,RT 44®,370,0,94,0
865,RASPBERRY,WACKY PACK®,0,0,0,0
866,,SMALL,0,0,0,0
867,,MEDIUM,0,0,0,0
868,,LARGE,0,0,0,0
869,,RT 44®,0,0,0,0
870,STRAWBERRY,WACKY PACK®,20,0,5,0
871,,SMALL,20,0,5,0
872,,MEDIUM,35,0,10,0
873,,LARGE,60,0,14,0
874,,RT 44®,70,0,19,0
875,VANILLA,WACKY PACK®,20,0,5,0
876,,SMALL,20,0,5,0
877,,MEDIUM,40,0,11,0
878,,LARGE,60,0,16,0
879,,RT 44®,80,0,21,0
880,WATERMELON,WACKY PACK®,10,0,3,0
881,,SMALL,10,0,3,0
882,,MEDIUM,25,0,6,0
883,,LARGE,35,0,9,0
884,,RT 44®,50,0,12,0
885,BBQ SAUCE,,30,0,8,0
886,COUNTRY GRAVY,,70,2,13,1
887,CREAM CHEESE FROSTING,,290,18,31,0
888,HONEY MUSTARD,,90,7,7,4
889,KETCHUP,,10,0,3,0
890,MARINARA,,10,0,2,0
891,MAYO,,80,9,0,0
892,MUSTARD,,0,0,0,0
893,RANCH DRESSING,,110,11,1,0
894,SALSA DE SONIC®,,0,0,1,0
895,SWEET RELISH,,10,0,3,0
896,SYRUP,,90,0,0,0
