,Food,Size/Variety,Calories,Fat,Carbs,Protein
262,Barq's® Root Beer,Kid's,140,0,38,0
263,,Small,290,0,78,0
264,,Medium,420,0,113,0
265,,Large,560,0,150,0
266,Barq's® Red Cream Soda,Kid's,140,0,39,0
267,,Small,300,0,81,0
268,,Medium,430,0,116,0
269,,Large,580,0,155,0
270,Big Red® Soda,Kid's,130,0,31,0
271,,Small,260,0,66,0
272,,Medium,380,0,94,0
273,,Large,500,0,125,0
274,Cherry Coca-Cola®,Kid's,130,0,35,0
275,,Small,270,0,74,0
276,,Medium,390,0,105,0
277,,Large,520,0,140,0
278,Pibb Xtra®,Kid's,120,0,33,0
279,,Small,260,0,68,0
280,,Medium,360,0,98,0
281,,Large,490,0,130,0
282,Fanta® Grape,Kid's,150,0,41,0
283,,Small,320,0,87,0
284,,Medium,460,0,124,0
285,,Large,610,0,165,0
286,Fanta® Orange,Kid's,140,0,44,0
287,,Small,290,0,92,0
288,,Medium,420,0,131,0
289,,Large,560,0,175,0
290,Fanta® Strawberry,Kid's,150,0,41,0
291,,Small,320,0,87,0
292,,Medium,450,0,124,0
293,,Large,600,0,165,0
294,Coke Zero®,Kid's,0,0,0,0
295,,Small,0,0,0,0
296,,Medium,0,0,0,0
297,,Large,0,0,0,0
298,Mello Yello®,Kid's,130,0,36,0
299,,Small,280,0,76,0
300,,Medium,400,0,109,0
301,,Large,530,0,145,0
302,Minute Maid® Lemonade,Kid's,120,0,31,0
303,,Small,250,0,70,0
304,,Medium,350,0,92,0
305,,Large,470,0,123,0
306,,Gallon,1510,0,423,0
307,Minute Maid® Lemonade Lite,Kid's,5,0,1,0
308,,Small,10,0,3,0
309,,Medium,20,0,4,0
310,,Large,25,0,5,0
311,,Gallon,80,0,15,0
