,Food,Size,Calories,Fat,Carbs,Fiber,Protein,Sodium, 
116,Teavana® Shaken Iced Black Tea Lemonade,Tall,70,0,17,0,0,0,
117,,Grande,90,0,23,0,0,10,
118,,Venti,130,0,34,0,0,10,
119,,Trenta,170,0,43,0,0,20,
120,Teavana® Shaken Iced Green Tea,Tall,30,0,8,0,0,5,
121,,Grande,45,0,11,0,0,10,
122,,Venti,60,0,16,0,0,15,
123,,Trenta,70,0,19,0,0,20,
124,Teavana® Shaken Iced Green Tea Lemonade,Tall,70,0,17,0,0,5,
125,,Grande,90,0,23,0,0,10,
126,,Venti,130,0,34,0,0,15,
127,,Trenta,170,0,43,0,0,20,
128,Teavana® Shaken Iced Passion Tango™ Tea,Tall,30,0,8,0,0,5,
129,,Grande,45,0,11,0,0,10,
130,,Venti,60,0,16,0,0,15,
131,,Trenta,70,0,19,0,0,20,
132,Teavana® Shaken Iced Passion Tango™ Tea Lemonade,Tall,70,0,17,0,0,5,
133,,Grande,90,0,23,0,0,10,
134,,Venti,130,0,34,0,0,15,
135,,Trenta 30oz,170,0,43,0,0,20,
136,Teavana® Shaken Peach Citrus White Tea Infusion,Tall,30,0,8,0,0,5,
137,,Grande,45,0,11,0,0,10,
138,,Venti,60,0,16,0,0,15,
139,,Trenta,70,0,19,0,0,20,
140,Teavana® Shaken Peach Citrus White Tea Infusion Lemonade,Tall,50,0,13,0,0,5,
141,,Grande,70,0,17,0,0,10,
142,,Venti,100,0,25,0,0,15,
143,,Trenta,120,0,31,0,0,20,
144,Teavana® Shaken Pineapple Black Tea Infusion,Tall,30,0,8,0,0,5,
145,,Grande,45,0,11,0,0,10,
146,,Venti,60,0,16,0,0,15,
147,,Trenta,70,0,19,0,0,20,
148,Teavana® Shaken Pineapple Black Tea Infusion Lemonade,Tall,50,0,13,0,0,5,
149,,Grande,70,0,17,0,0,10,
150,,Venti,100,0,25,0,0,15,
151,,Trenta,120,0,31,0,0,20,
152,Teavana® Shaken Strawberry Green Tea Infusion,Tall,30,0,8,0,0,5,
153,,Grande,45,0,11,0,0,10,
154,,Venti,60,0,16,0,0,15,
155,,Trenta,70,0,19,0,0,20,
156,Teavana® Shaken Strawberry Green Tea Infusion Lemonade,Tall,50,0,13,0,0,5,
157,,Grande,70,0,17,0,0,10,
158,,Venti,100,0,25,0,0,15,
159,,Trenta,120,0,31,0,0,20,
160,Teavana® Shaken Iced Piña Colada Tea Infusion w/ Coconut,Tall,60,2,11,0,0,0,
161,,Grande,80,2.5,15,0,0,0,
162,,Venti,130,4,22,0,0,0,
163,,Trenta,160,5,27,0,1,0,
164,Bottled Drinks,,,,,,,,
165,Iced Espresso Classics - Caffe Mocha,Tall,140,2.5,23,0,5,90,
166,Iced Espresso Classics - Caramel Macchiato,Tall,130,2.5,21,0,5,65,
167,Iced Espresso Classics - Skinny Caramel Macchiato,Grande,70,0,10,1,6,100,
