,Food,Size,Calories,Fat,Carbs,Fiber,Protein,Sodium, 
495,Espresso Macchiato w/ 2% Milk,Solo,10,0,1,0,0,0,
496,,Doppio,15,0,2,0,1,0,
497,,Tripple,20,0,3,0,1,0,
498,,Quad,25,0,4,0,2,0,
499,Espresso Macchiato w/ Nonfat Milk,Solo,5,0,1,0,0,0,
500,,Doppio,15,0,2,0,1,0,
501,,Tripple,20,0,3,0,1,0,
502,,Quad,25,0,4,0,2,0,
503,Espresso Macchiato w/ Whole Milk,Solo,10,0,1,0,0,0,
504,,Doppio,15,0,2,0,1,0,
505,,Tripple,20,0,3,0,1,0,
506,,Quad,25,0,4,0,2,0,
507,Flat White,Solo,150,5,13,1,10,130,
508,,Short,70,2.5,6,1,5,65,
509,,Tall,110,4,10,1,8,100,
510,,Grande,150,5,13,1,10,130,
511,,Venti,190,7,16,2,13,170,
512,Flat White w/ 2% Milk,Short,90,3.5,9,0,6,80,
513,,Tall,140,5,14,0,9,130,
514,,Grande,180,7,18,0,12,160,
515,,Venti,240,9,24,0,16,220,
516,Flat White w/ Nonfat Milk,Short,60,0,9,0,6,70,
517,,Tall,100,0,15,0,10,115,
518,,Grande,130,0,19,0,12,150,
519,,Venti,170,0,24,0,16,190,
520,Flat White w/ Whole Milk,Short,110,5,9,0,6,70,
521,,Tall,170,9,14,0,9,115,
522,,Grande,220,11,18,0,12,150,
523,,Venti,290,15,24,0,15,200,
524,Iced Caffè Americano,Solo,15,0,3,0,1,15,
525,,Tall,10,0,2,0,1,10,
526,,Grande,15,0,3,0,1,15,
527,,Venti Iced 24oz,25,0,4,0,1,20,
528,Iced Caffè Latte w/ 2% Milk,Tall,100,3.5,10,0,6,90,
529,,Grande,130,4.5,13,0,8,115,
530,,Venti Iced 24oz,180,6,18,0,12,160,
531,Iced Caffè Latte w/ Nonfat Milk,Tall,70,0,10,0,6,80,
532,,Grande,90,0,13,0,8,105,
533,,Venti Iced 24oz,130,0,19,0,12,140,
534,Iced Caffè Latte w/ Whole Milk,Tall,120,6,10,0,6,85,
535,,Grande,150,7,13,0,8,105,
536,,Venti Iced 24oz,210,10,18,0,11,150,
537,Iced Caffè Mocha,Solo,210,5,33,5,8,75,
538,,Tall,160,4,25,3,6,60,
539,,Grande,210,5,33,5,8,75,
540,,Venti Iced 24oz,310,7,49,7,12,100,
541,Iced Caffè Mocha w/ 2% Milk,Tall,180,4.5,27,3,7,70,
542,,Grande,230,6,36,4,9,90,
543,,Venti Iced 24oz,340,8,53,6,13,120,
544,Iced Caffè Mocha w/ 2% Milk,Tall,260,12,29,3,7,80,
545,,Grande,350,17,39,4,10,100,
546,Iced Caffè Mocha w/ Nonfat Milk,Tall,150,2,27,3,7,65,
547,,Grande,200,2.5,36,4,9,80,
548,,Venti Iced 24oz,300,3.5,53,6,13,110,
549,Iced Caffè Mocha w/ Nonfat Milk,Tall,240,10,30,3,7,75,
550,,Grande,320,14,40,4,10,90,
551,,Venti Iced 24oz,410,15,57,6,14,120,
552,Iced Caffè Mocha w/ Whipped Cream,Tall,240,12,27,3,7,65,
553,,Grande,330,16,37,5,9,85,
554,,Venti Iced 24oz,430,18,53,7,12,110,
555,Iced Caffè Mocha w/ Whole Milk,Tall,190,6,27,3,7,65,
556,,Grande,250,8,36,4,9,80,
557,,Venti Iced 24oz,360,11,53,6,12,110,
558,Iced Caffè Mocha w/ Whole Milk,Tall,270,14,29,3,7,75,
559,,Venti Iced 24oz,470,22,56,6,13,125,
560,Iced Caramel Macchiato w/ 2% Milk,Tall,180,5,26,0,7,110,
561,,Grande,250,7,37,0,10,150,
562,,Venti Iced 24oz,350,9,53,0,13,200,
563,Iced Caramel Macchiato w/ Nonfat Milk,Tall,140,1.5,26,0,7,100,
564,,Grande,210,2,37,0,10,135,
565,,Venti Iced 24oz,290,2.5,53,0,14,180,
566,Iced Caramel Macchiato w/ Whole Milk,Tall,200,8,26,0,7,100,
567,,Grande,280,11,37,0,9,140,
568,,Venti Iced 24oz,390,14,53,0,13,190,
569,Iced Cinnamon Dolce Latte w/ 2% Milk,Tall,160,3.5,27,0,6,85,
570,,Grande,210,4,36,0,8,110,
571,,Venti Iced 24oz,310,6,53,0,11,150,
572,Iced Cinnamon Dolce Latte w/ 2% Milk,Tall,240,11,30,0,6,90,
573,,Grande,290,12,39,0,8,115,
574,Iced Cinnamon Dolce Latte w/ Nonfat Milk,Tall,130,0,27,0,6,75,
575,,Grande,180,0,36,0,8,95,
576,,Venti Iced 24oz,260,0,53,0,11,135,
577,Iced Cinnamon Dolce Latte w/ Nonfat Milk,Tall,220,8,30,0,7,80,
578,,Grande,260,8,39,0,8,105,
579,,Venti Iced 24oz,370,11,57,0,12,140,
580,Iced Cinnamon Dolce Latte w/ Whole Milk,Tall,180,5,27,0,6,75,
581,,Grande,240,7,36,0,7,100,
582,,Venti Iced 24oz,340,10,53,0,10,140,
583,Iced Cinnamon Dolce Latte w/ Whole Milk,Tall,260,13,30,0,6,85,
584,,Venti Iced 24oz,450,21,56,0,11,150,
585,Iced Latte Macchiato w/ 2% Milk,Tall,100,3.5,10,0,6,0,
586,,Grande,130,4.5,13,0,8,0,
587,,Venti Iced 24oz,180,7,19,0,12,0,
588,Iced Latte Macchiato w/ Nonfat Milk,Tall,70,0,10,0,6,0,
589,,Grande,90,0,14,0,9,0,
590,,Venti Iced 24oz,130,0,19,0,12,0,
591,Iced Latte Macchiato w/ Whole Milk,Tall,120,6,10,0,6,0,
592,,Grande,150,8,13,0,8,0,
593,,Venti Iced 24oz,220,11,19,0,11,0,
594,Iced Skinny Cinnamon Dolce Latte w/ Nonfat Milk,Tall,60,0,9,0,6,85,
595,,Grande,80,0,12,0,7,110,
596,,Venti Iced 24oz,110,0,17,0,10,150,
597,Iced Skinny Mocha w/ Nonfat Milk,Tall,90,1,13,3,7,75,
598,,Grande,120,1.5,17,4,9,95,
599,,Venti Iced 24oz,170,2.5,25,6,13,130,
600,Iced Smoked Butterscotch Latte w/ 2% Milk,Tall,220,9,30,0,6,230,
601,,Grande,290,11,39,0,7,300,
602,,Venti Iced 24oz,420,17,57,1,10,430,
603,Iced Smoked Butterscotch Latte w/ Nonfat Milk,Tall,190,6,30,0,6,220,
604,,Grande,260,8,40,0,7,290,
605,,Venti Iced 24oz,380,11,58,1,10,420,
606,Iced Smoked Butterscotch Latte w/ Whole Milk,Tall,240,11,30,0,5,220,
607,,Grande,310,14,39,0,7,290,
608,,Venti Iced 24oz,450,20,57,1,10,420,
609,Iced Vanilla Latte w/ 2% Milk,Tall,140,3,23,0,6,75,
610,,Grande,190,4,30,0,7,100,
611,,Venti Iced 24oz,270,5,45,0,10,130,
612,Iced Vanilla Latte w/ Nonfat Milk,Tall,120,0,24,0,6,90,
613,,Grande,160,0,31,0,7,90,
614,,Venti Iced 24oz,220,0,45,0,10,125,
615,Iced Vanilla Latte w/ Whole Milk,Tall,160,5,23,0,5,75,
616,,Grande,210,6,30,0,7,90,
617,,Venti Iced 24oz,300,9,45,0,10,130,
618,Iced White Chocolate Mocha w/ 2% Milk,Tall,230,6,35,0,8,140,
619,,Grande,300,8,47,0,10,190,
620,,Venti Iced 24oz,440,12,70,0,14,270,
621,Iced White Chocolate Mocha w/ 2% Milk,Tall,310,14,38,0,8,150,
622,,Grande,420,20,50,0,11,200,
623,Iced White Chocolate Mocha w/ Nonfat Milk,Tall,200,3.5,36,0,8,135,
624,,Grande,270,4.5,48,0,10,180,
625,,Venti Iced 24oz,400,7,70,0,15,260,
626,Iced White Chocolate Mocha w/ Nonfat Milk,Tall,280,12,38,0,8,150,
627,,Grande,380,16,51,0,11,190,
628,,Venti Iced 24oz,510,18,73,0,15,270,
629,Iced White Chocolate Mocha w/ Whole Milk,Tall,240,8,35,0,7,140,
630,,Grande,320,11,47,0,10,180,
631,,Venti Iced 24oz,470,16,70,0,14,260,
632,Iced White Chocolate Mocha w/ Whole Milk,Tall,330,16,38,0,8,150,
633,,Grande,440,22,50,0,10,190,
634,,Venti Iced 24oz,580,27,73,0,15,270,
635,Latte Macchiato w/ 2% Milk,Short,90,3.5,9,0,6,80,
636,,Tall,140,5,15,0,9,130,
637,,Grande,190,7,19,0,12,160,
638,,Venti,240,9,24,0,16,210,
639,Latte Macchiato w/ Nonfat Milk,Short,60,0,10,0,6,70,
640,,Tall,100,0,15,0,10,115,
641,,Grande,130,0,19,0,12,150,
642,,Venti,170,0,25,0,16,190,
643,Latte Macchiato w/ Whole Milk,Short,110,5,9,0,6,70,
644,,Tall,170,9,15,0,9,115,
645,,Grande,220,11,19,0,12,150,
646,,Venti,290,15,24,0,15,200,
647,Skinny Mocha w/ Nonfat Milk,Short,80,1,12,2,7,70,
648,,Tall,130,1,18,3,11,115,
649,,Grande,160,1.5,24,4,14,140,
650,,Venti,210,2,30,5,18,190,
651,Smoked Butterscotch Latte w/ 2% Milk,Short,180,7,23,0,6,180,
652,,Tall,270,11,35,0,9,270,
653,,Grande,350,14,45,0,12,350,
654,,Venti,450,18,57,1,15,450,
655,Smoked Butterscotch Latte w/ Nonfat Milk,Short,150,4,23,0,6,170,
656,,Tall,230,6,35,0,9,260,
657,,Grande,300,8,46,0,12,340,
658,,Venti,380,10,58,1,15,430,
659,Smoked Butterscotch Latte w/ Whole Milk,Short,200,9,23,0,6,170,
660,,Tall,300,14,35,0,9,260,
661,,Grande,390,18,45,0,11,340,
662,,Venti,490,23,57,1,14,430,
663,Starbucks Doubleshot® on Ice Beverage w/ 2% Milk,Tall,40,1,4,0,3,35,
664,,Grande,45,1,5,0,3,40,
665,,Venti Iced 24oz,70,2,8,0,4,55,
666,Starbucks Doubleshot® on Ice Beverage w/ Nonfat Milk,Tall,30,0,5,0,3,35,
667,,Grande,35,0,5,0,3,35,
668,,Venti Iced 24oz,50,0,8,0,4,50,
669,Starbucks Doubleshot® on Ice Beverage w/ Whole Milk,Tall,45,2,4,0,2,35,
670,,Grande,50,2,5,0,3,35,
671,,Venti Iced 24oz,80,3,8,0,4,55,
672,Vanilla Latte w/ 2% Milk,Short,130,3.5,18,0,6,80,
673,,Tall,200,5,28,0,9,125,
674,,Grande,250,6,37,0,12,150,
675,,Venti,320,9,46,0,15,200,
676,Vanilla Latte w/ Nonfat Milk,Short,100,0,19,0,6,70,
677,,Tall,150,0,28,0,9,110,
678,,Grande,200,0,37,0,12,140,
679,,Venti,250,0,47,0,15,180,
680,Vanilla Latte w/ Whole Milk,Short,140,5,18,0,6,70,
681,,Tall,220,9,28,0,9,115,
682,,Grande,290,11,37,0,11,140,
683,,Venti,370,14,46,0,14,190,
684,White Chocolate Mocha w/ 2% Milk,Short,180,5,26,0,7,120,
685,,Tall,280,8,40,0,11,190,
686,,Grande,360,11,53,0,14,240,
687,,Venti,460,14,67,0,18,310,
688,White Chocolate Mocha w/ 2% Milk,Short,230,10,28,0,7,125,
689,,Tall,340,14,42,0,11,190,
690,,Grande,430,18,55,0,14,250,
691,,Venti,530,21,69,0,19,320,
692,White Chocolate Mocha w/ Nonfat Milk,Short,160,2.5,27,0,7,110,
693,,Tall,240,3.5,40,0,11,170,
694,,Grande,310,5,53,0,14,220,
695,,Venti,390,6,67,0,18,290,
696,White Chocolate Mocha w/ Nonfat Milk,Short,210,8,28,0,7,115,
697,,Tall,300,10,42,0,11,180,
698,,Grande,380,12,55,0,15,230,
699,,Venti,470,13,69,0,19,290,
700,White Chocolate Mocha w/ Whole Milk,Short,200,7,26,0,7,115,
701,,Tall,300,12,40,0,11,180,
702,,Grande,400,15,53,0,14,230,
703,,Venti,510,19,67,0,17,290,
704,White Chocolate Mocha w/ Whole Milk + Whipped Cream,Short,250,12,28,0,7,120,
705,,Tall,370,18,42,0,11,180,
706,,Grande,470,22,55,0,14,230,
707,,Venti,580,26,69,0,18,300,
708,Frappuccino® Blended Beverages,,,,,,,,
709,Caffè Vanilla Frappuccino® Blended Coffee w/ 2% Milk,Grande,300,2,68,0,4,220,
710,,Venti,400,3,89,0,5,300,
711,Caffè Vanilla Frappuccino® Blended Coffee w/ 2% Milk + Whipped Cream,Grande,420,13,72,0,4,230,
712,,Venti,510,14,92,0,6,310,
713,Caffè Vanilla Frappuccino® Blended Coffee w/ Almond,Tall,190,1.5,45,1,1,160,
714,,Grande,280,1.5,66,1,1,220,
715,,Venti,360,2.5,85,1,1,290,
716,Caffè Vanilla Frappuccino® Blended Coffee w/ Almond + Whipped Cream,Tall,280,9,48,1,1,160,
717,,Grande,390,13,69,1,1,230,
718,,Venti,480,13,88,1,2,300,
719,Caffè Vanilla Frappuccino® Blended Coffee w/ Coconut,Tall,200,1.5,46,0,0,150,
720,,Grande,290,2,68,0,0,210,
721,,Venti,380,3,87,0,1,290,
722,Caffè Vanilla Frappuccino® Blended Coffee w/ Coconut + Whipped Cream,Tall,280,9,49,0,1,160,
723,,Grande,400,13,71,0,1,220,
724,,Venti,490,14,90,0,2,290,
725,Caffè Vanilla Frappuccino® Blended Coffee w/ Nonfat Milk,Tall,200,0,48,0,3,160,
726,,Grande,290,0,69,0,4,220,
727,,Venti,380,0,89,0,5,290,
728,Caffè Vanilla Frappuccino® Blended Coffee w/ Nonfat Milk + Whipped Cream,Grande,400,11,72,0,4,230,
729,,Venti,490,11,92,0,6,300,
730,Caffè Vanilla Frappuccino® Blended Coffee w/ Soy,Grande,310,1.5,70,1,3,210,
731,,Venti,400,2.5,91,1,4,290,
732,Caffè Vanilla Frappuccino® Blended Coffee w/ Soy + Whipped Cream,Grande,420,13,73,1,4,220,
733,,Venti,520,13,94,1,5,290,
734,Caffè Vanilla Frappuccino® Blended Coffee w/ Whole Milk,Tall,220,2.5,48,0,3,160,
735,,Grande,310,3,68,0,3,220,
736,,Venti,420,4.5,89,0,5,290,
737,Caffè Vanilla Frappuccino® Blended Coffee w/ Whole Milk + Whipped Cream,Tall,300,10,50,0,3,160,
738,,Grande,430,14,72,0,4,230,
739,,Venti,530,16,92,0,6,300,
740,Caffè Vanilla Light Frappuccino® Blended Coffee w/ 2% Milk,Grande,300,2,68,0,4,220,
741,,Venti,400,3,88,0,5,290,
742,Caffè Vanilla Light Frappuccino® Blended Coffee w/ 2% Milk + Whipped Cream,Grande,420,13,72,0,4,230,
743,,Venti,510,14,91,0,6,300,
744,Caffè Vanilla Light Frappuccino® Blended Coffee w/ Coconut,Tall,200,1.5,47,0,0,150,
745,,Grande,290,2,68,0,0,210,
746,,Venti,380,3,87,0,1,280,
747,Caffè Vanilla Light Frappuccino® Blended Coffee w/ Coconut + Whipped Cream,Tall,280,10,49,0,1,160,
748,Caffè Vanilla Light Frappuccino® Blended Coffee w/ Coconut + Whipped Cream,Grande,400,13,71,0,1,220,
749,Caffè Vanilla Light Frappuccino® Blended Coffee w/ coconut + Whipped Cream,Venti,490,14,90,0,1,290,
750,Caffè Vanilla Light Frappuccino® Blended Coffee w/ Nonfat Milk,Tall,130,0,30,0,3,160,
751,,Grande,180,0,41,0,3,210,
752,,Venti,250,0,56,1,5,290,
753,Caffè Vanilla Light Frappuccino® Blended Coffee w/ Nonfat Milk + Whipped Cream,Grande,400,11,72,0,4,230,
754,,Venti,490,11,92,0,6,300,
755,Caffè Vanilla Light Frappuccino® Blended Coffee w/ Soy,Grande,310,1.5,70,1,3,210,
756,,Venti,400,2.5,90,1,4,280,
757,Caffè Vanilla Light Frappuccino® Blended Coffee w/ Soy + Whipped Cream,Grande,420,13,73,1,4,220,
758,,Venti,510,14,94,1,5,290,
759,Caffè Vanilla Light Frappuccino® Blended Coffee w/ Whole Milk,Tall,220,2.5,47,0,3,150,
760,,Venti,410,5,88,0,5,290,
761,,Grande,310,3,68,0,3,220,
762,Caffè Vanilla Light Frappuccino® Blended Coffee w/ Whole Milk + Whipped Cream,Tall,300,11,50,0,3,160,
763,,Grande,430,14,72,0,4,230,
764,,Venti,530,16,91,0,6,300,
765,Caramel Cocoa Cluster Frappuccino® Blended Coffee w/ 2% Milk,Grande,320,4.5,66,0,3,290,
766,,Venti,400,6,83,0,5,370,
767,Caramel Cocoa Cluster Frappuccino® Blended Coffee w/ 2% Milk + Whipped Cream,Grande,440,16,71,0,4,300,
768,,Venti,520,17,87,0,6,380,
769,Caramel Cocoa Cluster Frappuccino® Blended Coffee w/ Coconut,Tall,220,4,46,0,0,190,
770,,Grande,300,4.5,65,0,1,280,
771,,Venti,380,6,80,0,1,360,
772,Caramel Cocoa Cluster Frappuccino® Blended Coffee w/ Coconut + Whipped Cream,Tall,310,12,50,0,1,200,
773,,Grande,420,16,69,0,1,290,
774,,Venti,500,17,85,0,2,370,
775,Caramel Cocoa Cluster Frappuccino® Blended Coffee w/ Nonfat Milk,Tall,220,2.5,47,0,3,200,
776,,Grande,300,3,66,0,3,280,
777,,Venti,380,3,83,0,5,360,
778,Caramel Cocoa Cluster Frappuccino® Blended Coffee w/ Nonfat Milk + Whipped Cream,Grande,420,14,71,0,4,300,
779,,Venti,500,14,88,0,6,370,
780,Caramel Cocoa Cluster Frappuccino® Blended Coffee w/ Soy,Grande,320,4,67,0,3,280,
781,,Venti,400,5,85,1,4,350,
782,Caramel Cocoa Cluster Frappuccino® Blended Coffee w/ Soy + Whipped Cream,Grande,440,16,72,1,4,290,
783,,Venti,520,16,89,1,5,370,
784,Caramel Cocoa Cluster Frappuccino® Blended Coffee w/ Whole Milk,Tall,240,5,47,0,3,200,
785,,Venti,410,7,83,0,5,360,
786,,Grande,330,6,66,0,3,290,
787,Caramel Cocoa Cluster Frappuccino® Blended Coffee w/ Whole Milk + Whipped Cream,Tall,330,13,51,0,3,200,
788,,Grande,450,17,71,0,4,300,
789,,Venti,530,19,87,0,6,370,
790,Caramel Frappuccino® Blended Coffee w/ 2% Milk,Grande,270,2,60,0,4,230,
791,,Venti,360,3,78,0,5,310,
792,Caramel Frappuccino® Blended Coffee w/ 2% Milk + Whipped Cream,Grande,410,14,67,0,4,250,
793,,Venti,500,15,85,0,6,330,
794,Caramel Frappuccino® Blended Coffee w/ Almond,Tall,170,1.5,40,0,1,160,
795,,Grande,250,1.5,57,1,1,230,
796,,Venti,320,2.5,74,1,1,300,
797,Caramel Frappuccino® Blended Coffee w/ Almond + Whipped Cream,Tall,270,10,45,0,1,180,
798,,Grande,380,14,64,1,2,250,
799,,Venti,460,14,81,1,2,320,
800,Caramel Frappuccino® Blended Coffee w/ Coconut,Tall,180,2,41,0,0,160,
801,,Grande,260,2,59,0,0,220,
802,,Venti,340,3.5,76,0,1,300,
803,Caramel Frappuccino® Blended Coffee w/ Coconut + Whipped Cream,Tall,280,10,46,0,1,170,
804,,Grande,390,14,65,0,1,240,
805,,Venti,470,15,83,0,1,320,
806,Caramel Frappuccino® Blended Coffee w/ Nonfat Milk,Tall,180,0,42,0,3,160,
807,,Grande,260,0,60,0,4,230,
808,,Venti,340,0,79,0,5,300,
809,Caramel Frappuccino® Blended Coffee w/ Nonfat Milk + Whipped Cream,Grande,390,12,67,0,4,240,
810,,Venti,470,12,85,0,6,320,
811,Caramel Frappuccino® Blended Coffee w/ Soy,Grande,280,1.5,62,0,3,220,
812,,Venti,360,2.5,81,1,5,290,
813,Caramel Frappuccino® Blended Coffee w/ Soy + Whipped Cream,Grande,410,14,68,0,4,240,
814,,Venti,500,14,88,1,5,310,
815,Caramel Frappuccino® Blended Coffee w/ Whole Milk,Tall,200,2.5,42,0,3,160,
816,,Venti,380,5,78,0,5,300,
817,,Grande,280,3.5,60,0,3,230,
818,Caramel Frappuccino® Blended Coffee w/ Whole Milk + Whipped Cream,Tall,300,11,47,0,3,180,
819,,Grande,420,15,67,0,4,250,
820,,Venti,510,17,85,0,6,320,
821,Caramel Light Frappuccino® Blended Coffee w/ Nonfat Milk,Tall,100,0,22,0,3,150,
822,,Grande,140,0,30,0,3,190,
823,,Venti,190,0,40,0,5,260,
824,Chai Crème Frappuccino® Blended Crème w/ 2% Milk,Grande,230,2.5,49,0,4,220,
825,,Venti,330,4,66,0,7,320,
826,Chai Crème Frappuccino® Blended Crème w/ 2% Milk + Whipped Cream,Grande,350,14,52,0,5,230,
827,,Venti,440,15,69,0,8,330,
828,Chai Crème Frappuccino® Blended Crème w/ Almond,Tall,130,1.5,30,1,1,160,
829,,Grande,200,2,45,1,1,220,
830,,Venti,270,3.5,60,1,1,320,
831,Chai Crème Frappuccino® Blended Crème w/ Almond + Whipped Cream,Tall,210,10,32,1,1,170,
832,,Grande,310,13,49,1,2,230,
833,,Venti,380,14,63,1,2,330,
834,Chai Crème Frappuccino® Blended Crème w/ Coconut,Tall,140,2,31,0,0,150,
835,,Grande,210,2.5,47,0,1,210,
836,,Venti,290,4.5,63,0,1,300,
837,Chai Crème Frappuccino® Blended Crème w/ Coconut + Whipped Cream,Tall,220,10,33,0,1,160,
838,,Grande,330,14,50,0,1,220,
839,,Venti,400,16,66,0,1,310,
840,Chai Crème Frappuccino® Blended Crème w/ Nonfat Milk,Tall,140,0,33,0,4,150,
841,,Grande,210,0,49,0,5,210,
842,,Venti,290,0,66,0,7,310,
843,Chai Crème Frappuccino® Blended Crème w/ Nonfat Milk + Whipped Cream,Grande,330,11,53,0,5,220,
844,,Venti,410,11,70,0,8,320,
845,Chai Crème Frappuccino® Blended Crème w/ Soy,Grande,240,2,51,1,4,210,
846,,Venti,330,3.5,69,1,6,300,
847,Chai Crème Frappuccino® Blended Crème w/ Soy + Whipped Cream,Grande,350,13,54,1,4,220,
848,,Venti,440,14,72,1,7,310,
849,Chai Crème Frappuccino® Blended Crème w/ Whole Milk,Tall,170,3.5,32,0,3,150,
850,,Venti,350,7,66,0,7,310,
851,,Grande,250,4,49,0,4,210,
852,Chai Crème Frappuccino® Blended Crème w/ Whole Milk + Whipped Cream,Tall,250,11,35,0,4,160,
853,,Grande,360,15,52,0,5,220,
854,,Venti,460,18,69,0,7,320,
855,Christmas Tree Frappuccino® Blended Crème w/ 2% Milk,Grande,410,20,53,1,6,220,
856,,Venti,480,18,71,2,8,320,
857,,Venti,480,18,71,2,8,320,
858,Christmas Tree Frappuccino® Blended Crème w/ Almond,Tall,290,17,34,1,2,160,
859,,Grande,380,19,50,2,3,220,
860,,Venti,430,17,66,3,3,310,
861,,Venti,430,17,66,3,3,310,
862,Christmas Tree Frappuccino® Blended Crème w/ Coconut,Tall,300,17,35,1,2,150,
863,,Grande,390,20,51,1,2,210,
864,,Venti,450,18,68,2,3,300,
865,Christmas Tree Frappuccino® Blended Crème w/ Nonfat Milk,Tall,300,16,37,1,4,150,
866,,Grande,390,18,53,1,6,220,
867,,Venti,450,15,71,2,8,310,
868,Christmas Tree Frappuccino® Blended Crème w/ Soy,Grande,410,19,55,2,5,210,
869,,Venti,480,17,74,2,7,300,
870,Christmas Tree Frappuccino® Blended Crème w/ Whole Milk,Tall,320,18,36,1,4,160,
871,,Venti,490,20,71,2,8,310,
872,,Grande,420,21,53,1,6,220,
873,Cinnamon Dolce Frappuccino® Blended Coffee,Tall,210,2.5,43,0,4,180,
874,,Grande,260,3,52,0,5,220,
875,,Venti,370,4.5,77,0,7,320,
876,Cinnamon Dolce Frappuccino® Blended Coffee w/ Almond,Tall,210,2.5,43,0,4,180,
877,Cinnamon Dolce Frappuccino® Blended Coffee w/ Whipped Cream,Tall,290,10,45,0,4,190,
878,,Grande,370,14,55,0,6,240,
879,,Venti,490,16,80,0,8,330,
880,Cinnamon Dolce Light Frappuccino® Blended Coffee w/ Nonfat Milk,Tall,110,0,25,0,3,160,
881,,Grande,160,0,36,0,3,210,
882,,Venti,200,0,45,0,5,290,
883,Cinnamon Roll Frappuccino® Blended Coffee w/ 2% Milk,Grande,380,4,83,0,5,250,
884,,Venti,470,5,100,0,6,320,
885,Cinnamon Roll Frappuccino® Blended Coffee w/ 2% Milk + Whipped Cream,Grande,500,15,87,0,5,260,
886,,Venti,590,16,104,0,7,340,
887,Cinnamon Roll Frappuccino® Blended Coffee w/ Coconut,Tall,220,2.5,48,0,1,160,
888,,Grande,370,4,82,0,2,240,
889,,Venti,450,5,98,0,2,310,
890,Cinnamon Roll Frappuccino® Blended Coffee w/ Coconut + Whipped Cream,Tall,300,11,51,0,1,160,
891,,Grande,490,15,86,0,3,250,
892,,Venti,560,16,102,0,3,330,
893,Cinnamon Roll Frappuccino® Blended Coffee w/ Nonfat Milk,Tall,220,1,49,0,3,160,
894,,Grande,370,2.5,83,0,5,240,
895,,Venti,450,2.5,101,0,6,320,
896,Cinnamon Roll Frappuccino® Blended Coffee w/ Nonfat Milk + Whipped Cream,Grande,490,14,87,0,5,250,
897,,Venti,560,14,104,0,7,330,
898,Cinnamon Roll Frappuccino® Blended Coffee w/ Soy,Grande,390,3.5,85,1,4,240,
899,,Venti,470,4.5,102,1,6,310,
900,Cinnamon Roll Frappuccino® Blended Coffee w/ Soy + Whipped Cream,Grande,500,15,88,1,5,250,
901,,Venti,590,16,106,1,6,320,
902,Cinnamon Roll Frappuccino® Blended Coffee w/ Whole Milk,Tall,240,3.5,49,0,3,160,
903,,Venti,480,7,100,0,6,320,
904,,Grande,390,5,83,0,4,240,
905,Cinnamon Roll Frappuccino® Blended Coffee w/ Whole Milk + Whipped Cream,Tall,320,11,52,0,3,170,
906,,Grande,510,16,87,0,5,250,
907,,Venti,600,18,104,0,7,330,
908,Coffee Frappuccino® Blended Coffee w/ 2% Milk,Grande,230,2,50,0,3,220,
909,,Venti,330,3,70,0,5,310,
910,Coffee Frappuccino® Blended Coffee w/ Almond,Tall,150,1.5,34,0,1,160,
911,,Grande,210,1.5,48,1,1,220,
912,,Venti,290,2.5,67,1,1,310,
913,Coffee Frappuccino® Blended Coffee w/ Coconut,Tall,160,2,36,0,0,150,
914,,Grande,220,2,50,0,0,210,
915,,Venti,310,3.5,69,0,1,300,
916,Coffee Frappuccino® Blended Coffee w/ Nonfat Milk,Tall,160,0,36,0,3,160,
917,,Grande,220,0,51,0,4,210,
918,,Venti,310,0,70,0,6,300,
919,Coffee Frappuccino® Blended Coffee w/ Soy,Grande,230,1.5,52,0,3,210,
920,,Venti,330,2.5,73,1,5,300,
921,Coffee Frappuccino® Blended Coffee w/ Whole Milk,Tall,180,2.5,36,0,3,160,
922,,Venti,350,5,70,0,5,300,
923,,Grande,240,3,50,0,3,220,
924,Coffee Light Frappuccino® Blended Coffee,Tall,90,0,18,0,3,150,
925,,Grande,110,0,24,0,3,200,
926,,Venti,160,0,33,0,5,270,
927,Coffee Light Frappuccino® Blended Coffee w/ Nonfat Milk,Tall,90,0,18,0,3,150,
928,,Grande,110,0,24,0,3,200,
929,,Venti,160,0,33,0,5,270,
930,Cupcake Crème Frappuccino® Blended Crème w/ 2% Milk,Grande,290,2.5,62,0,4,230,
931,,Venti,370,4,78,0,6,300,
932,Cupcake Crème Frappuccino® Blended Crème w/ 2% Milk + Whipped Cream,Grande,400,14,65,0,5,240,
933,,Venti,480,15,81,0,7,320,
934,Cupcake Crème Frappuccino® Blended Crème w/ Coconut,Tall,170,2,39,0,0,150,
935,,Grande,260,3,60,0,0,220,
936,,Venti,340,4,75,0,0,290,
937,Cupcake Crème Frappuccino® Blended Crème w/ Coconut + Whipped Cream,Tall,260,10,41,0,1,160,
938,,Grande,380,14,63,0,1,230,
939,,Venti,450,15,78,0,1,300,
940,Cupcake Crème Frappuccino® Blended Crème w/ Nonfat Milk,Tall,180,0,41,0,3,150,
941,,Grande,270,0,62,0,5,220,
942,,Venti,340,0,78,0,6,290,
943,Cupcake Crème Frappuccino® Blended Crème w/ Nonfat Milk + Whipped Cream,Grande,380,11,65,0,5,230,
944,,Venti,450,11,81,0,7,310,
945,Cupcake Crème Frappuccino® Blended Crème w/ Soy,Grande,290,2,64,1,4,220,
946,,Venti,370,3,81,1,5,290,
947,Cupcake Crème Frappuccino® Blended Crème w/ Soy + Whipped Cream,Grande,400,13,67,1,4,230,
