,Ingredient Type,Food,Calories,Fat,Carbs,Protein
613,DIPPING CUPS,BBQ,60,0,14,0
614,,Blue Cheese,200,21,2,1
615,,Garlic,250,28,0,0
616,,Kicker Hot,45,3.5,2,0
617,,Marinara,30,0,6,1
618,,Ranch,160,17,1,0
619,,Sweet Icing,230,4,51,0
620,,Sweet Mango Habanero,60,0,17,0
621,,Nacho Cheese Dipping Cup,120,8,5,6
622,DESSERTS,Chocolate Lava Crunch Cake 1 Cake,350,17,47,4
623,,Marbled Cookie Brownie 1 Brownie,190,9,25,2
624,,Dipped Chocolate Chunk Cookie 1 cookie,380,18,55,4
625,,Cinnamon Bread Twists 2 Pieces,250,12,31,5
