,Food,Size,Calories,Fat,Carbs,Protein
112,Four Pepper Pepperoni,100.8g,180,7g,23g,8g
113,Hawaiian Chicken,101.4g,180,5g,24g,9g
114,Meat Lover's®,102.6g,260,14g,22g,11g
115,Pepperoni,81.9g,200,9g,22g,8g
116,Pepperoni Lover's®,95.9g,250,13g,22g,11g
117,Primo Meats,97.5g,250,13g,22g,11g
118,Supreme,105.5g,210,9g,23g,9g
119,Ultimate Cheese Lover's®,82g,210,10g,21g,10g
120,Veggie Lover's®,109.2g,170,6g,24g,7g
121,Backyard BBQ Chicken,153.4g,390,17g,43g,17g
122,Buffalo Chicken,152.6g,360,15g,40g,16g
123,Cheese,150.8g,380,19g,37g,16g
124,Chicken-Bacon Parmesan,160.2g,390,20g,35g,18g
125,Four Pepper Pepperoni,163.6g,360,18g,37g,14g
126,Hawaiian Chicken,168.8g,360,16g,38g,17g
127,Meat Lover's®,175.1g,470,28g,36g,19g
128,Pepperoni,143.6g,380,20g,36g,15g
129,Pepperoni Lover's®,167.6g,460,26g,37g,19g
130,Primo Meats,169.7g,470,28g,36g,19g
131,Supreme,172.7g,410,22g,37g,16g
132,Ultimate Cheese Lover's®,150.4g,410,22g,36g,17g
133,Veggie Lover's®,171.3g,340,16g,38g,13g
134,Backyard BBQ Chicken,132.3g,300,10g,40g,14g
135,Buffalo Chicken,131.5g,270,8g,37g,13g
136,Cheese,127.2g,290,11g,34g,13g
137,Chicken-Bacon Parmesan,139.1g,310,13g,33g,15g
138,Four Pepper Pepperoni,143.1g,280,10g,34g,12g
139,Hawaiian Chicken,148.8g,280,9g,35g,14g
140,Meat Lover's®,155.1g,390,21g,34g,17g
141,Pepperoni,123.6g,300,13g,33g,12g
142,Pepperoni Lover's®,144g,370,19g,34g,16g
143,Primo Meats,149.7g,390,21g,34g,16g
144,Supreme,152.8g,330,15g,35g,13g
145,Ultimate Cheese Lover's®,125.7g,310,14g,33g,14g
146,Veggie Lover's®,151.3g,260,9g,35g,11g
147,Backyard BBQ Chicken,115g,280,9g,35g,13g
148,Buffalo Chicken,114.1g,240,7g,32g,12g
149,Cheese,111.3g,250,10g,29g,12g
150,Chicken-Bacon Parmesan,127.9g,290,13g,28g,15g
151,Four Pepper Pepperoni,133.2g,250,10g,30g,11g
152,Hawaiian Chicken,136.1g,240,8g,31g,13g
153,Meat Lover's®,140.2g,360,20g,29g,16g
154,Pepperoni,109.4g,270,13g,29g,12g
155,Pepperoni Lover's®,129.8g,340,18g,29g,15g
156,Primo Meats,133.8g,350,19g,29g,15g
157,Supreme,141.3g,290,14g,30g,12g
158,Ultimate Cheese Lover's®,111.6g,290,14g,28g,13g
159,Veggie Lover's®,143.2g,230,8g,31g,10g
160,Backyard BBQ Chicken,145.4g,340,13g,41g,16g
161,Buffalo Chicken,144.7g,310,11g,38g,15g
162,Cheese,137g,310,13g,35g,14g
163,Chicken-Bacon Parmesan,151.8g,340,16g,34g,17g
164,Four Pepper Pepperoni,154.5g,320,13g,35g,14g
165,Hawaiian Chicken,160.2g,310,11g,37g,16g
166,Meat Lover's®,169g,430,24g,35g,18g
167,Pepperoni,138g,340,16g,35g,14g
168,Pepperoni Lover's®,152.7g,390,20g,35g,17g
169,Primo Meats,162.8g,420,23g,35g,18g
170,Supreme,164.7g,360,18g,36g,15g
171,Ultimate Cheese Lover's®,135.5g,340,16g,34g,15g
172,Veggie Lover's®,161.3g,300,12g,36g,13g
173,Cheese - Udi's®,50.6g,110,4.5g,15g,4g
