,Food,Size,Calories,Fat,Carbs,Protein
450,Chicken Garden Salad w/o Dressing,Entree,390,17g,34g,30g
451,Chopped Salad *Local Specialty* w/o Dressing,Entree,230,11g,8g,24g
452,Classic Caesar Salad w/o Dressing,Shared,180,7g,24g,7g
453,Classic Caesar Salad w/o Dressing,Side/Small,110,4.5g,12g,5g
454,Crispy Chicken *Local Specialty* w/o Dressing - Entree,Entree,740,40g,58g,39g
455,Crispy Cobb Salad *Local Specialty* w/o Dressing,Entree,700,45g,40g,36g
456,Garden Salad w/o Dressing,Shared,210,7g,31g,7g
457,,Side/Small,120,4.5g,17g,5g
458,Grilled Chicken Caesar *Local Specialty* w/o Dressing,Entree,360,14g,27g,33g
459,Grilled Chicken Garden *Local Specialty* w/o Dressing,Entree,460,23g,31g,36g
460,Harvest Salad w/o Dressing,Entree,470,19g,48g,31g
461,Hawaii Caesar Salad *Local Specialty* w/o Dressing,Entree,60,2.5g,6g,4g
462,Hawaii Chicken Caesar Salad *Local Specialty* w/o Dressing,Entree,140,4.5g,8g,19g
463,Hawaii Garden Salad *Local Specialty* w/o Dressing,Entree,50,0.5g,11g,4g
464,,Side,15,0g,3g,1g
465,Italian Garden Salad *Local Specialty* w/o Dressing,Entree,270,19g,12g,14g
466,WingStreet® Buffalo Chicken Salad w/o Dressing,Entree,750,32g,84g,34g
467,WingStreet® Crispy Chicken Caesar Salad w/o Dressing,Entree,1030,73g,58g,37g
468,Zesty Italian Salad w/o Dressing,Entree,370,22g,30g,16g
469,,Shared,370,22g,30g,16g
470,Blue Cheese Marzetti Dressing Packet,1.5 oz packet,200,21g,2g,1g
471,Buttermilk Ranch Marzetti Dressing Packet,1.5 oz packet,200,22g,2g,0g
472,Fat Free Ranch Marzetti Dressing Packet,1.5 oz packet,35,0g,8g,0g
473,Honey French Marzetti Dressing Packet,1.5 oz packet,190,15g,13g,0g
474,Light Italian Marzetti Dressing Packet,1.5 oz packet,15,1g,2g,0g
475,Marzetti Royal Caesar Dressing Packet,1.5 oz packet,180,18g,2g,1g
476,Marzetti Thousand Island Dressing Packet,1.5 oz packet,210,21g,6g,0g
477,Balsamic Vinaigrette Dressing,Entree/Shared,220,21g,7g,0g
478,,Side/Small,110,10g,4g,0g
479,Blue Cheese Dressing,Entree/Shared,450,48g,3g,2g
480,,Side/Small,220,24g,1g,< 1g
481,Creamy Caesar Dressing,Entree/Shared,360,37g,5g,1g
482,,Side/Small,180,19g,3g,< 1g
483,Creamy Italian Dressing,Entree/Shared,350,37g,4g,0g
484,,Side/Small,170,18g,2g,0g
485,French Dressing,Entree/Shared,330,23g,29g,0g
486,,Side/Small,160,12g,15g,0g
487,General Tso's Dressing,Entree/Shared,90,0g,21g,0g
488,Light Italian Vinaigrette Dressing,Entree/Shared,150,11g,11g,0g
489,,Side/Small,80,6g,6g,0g
490,Light Ranch Dressing,Entree/Shared,150,15g,3g,1g
491,,Side/Small,80,7g,1g,< 1g
492,Ranch Dressing,Entree/Shared,230,23g,4g,2g
493,,Side/Small,110,11g,2g,< 1g
494,Romano Dressing,Entree/Shared,330,33g,6g,2g
495,Sun-Dried Tomato Basil Dressing,Entree/Shared,330,31g,10g,2g
496,Thousand Island Dressing,Entree/Shared,270,24g,14g,< 1g
497,,Side/Small,140,12g,7g,0g
498,Black Forest Ham & Cheese Diablo Sandwich,w/ Potato Chips,860,39g,89g,38g
499,,w/ Straight-Cut Fries,1170,53g,133g,39g
500,Black Forest Ham & Cheese Sandwich *Local Specialty*,w/ Potato Chips,920,41g,89g,47g
501,,w/ Straight-Cut Fries,1240,55g,133g,49g
502,Black Forest Ham & Cheese Sandwich,w/ Potato Chips,850,39g,88g,37g
503,,w/ Straight-Cut Fries,1170,53g,132g,39g
504,Meatball Sub Sandwich,w/ Potato Chips,1090,56g,100g,50g
505,,w/ Straight-Cut Fries,1410,70g,144g,51g
506,P'zone - Meat W/ Mainara Sauce,,1200,,,
507,P'zone - Pepperoni W/ Mainara Sauce,,1030,,,
508,P'zone - Supremo W/ Mainara Sauce,,1050,,,
509,Roasted Turkey & Provolone Sandwich,w/ Potato Chips,850,39g,90g,38g
510,,w/ Straight-Cut Fries,1160,53g,134g,40g
511,Roasted Turkey & Provolone Sandwich with Bacon,w/ Potato Chips,920,45g,90g,41g
512,,w/ Straight-Cut Fries,1240,59g,134g,43g
513,Steak & Cheese Hoagie,w/ Potato Chips,940,42g,89g,53g
514,,w/ Straight-Cut Fries,1260,56g,133g,55g
515,Supremo Sandwich *Local Specialty*,w/ Potato Chips,1060,53g,87g,55g
516,,w/ Straight-Cut Fries,1370,67g,131g,57g
517,Supremo Sandwich,w/ Potato Chips,970,50g,86g,44g
518,,w/ Straight-Cut Fries,1290,64g,130g,46g
519,WingStreet® Buffalo Chicken Sandwich,w/ Straight-Cut Fries,1550,75g,179g,41g
520,WingStreet® Chicken Parmesan Sandwich w/ Breadstick Dipping Sauce,w/ Straight-Cut Fries,1790,99g,171g,54g
521,WingStreet® Honey BBQ Sandwich,w/ Straight-Cut Fries,1720,78g,210g,44g
522,WingStreet® Honey BBQ with Bacon Sandwich,w/ Straight-Cut Fries,1890,94g,210g,51g
523,Naked,Bone Out Wing 26.8g,80,4g,6g,5g
524,,Traditional 31.2g,80,4.5g,0g,9g
525,Buffalo Burnin' Hot,Bone Out Wing,90,4g,9g,5g
526,,Traditional,100,4.5g,5g,9g
527,Buffalo Medium,Bone Out Wing,90,4g,9g,5g
528,,Traditional,100,4.5g,5g,9g
529,Buffalo Mild,Bone Out Wing,90,4g,10g,5g
530,,Traditional,100,4.5g,5g,9g
531,Cajun Rub,Bone Out Wing,80,4g,6g,5g
532,,Traditional,80,4.5g,< 1g,9g
533,Garlic Parmesan,Bone Out Wing,130,9g,6g,5g
534,,Traditional,140,11g,< 1g,10g
535,Hawaiian Teriyaki,Bone Out Wing,90,4g,9g,5g
536,,Traditional,100,4.5g,4g,10g
537,Honey BBQ,Bone Out Wing,110,4g,13g,5g
538,,Traditional,120,4.5g,10g,9g
539,Lemon Pepper Rub,Bone Out Wing,80,4g,6g,5g
540,,Traditional,80,4.5g,< 1g,9g
541,Ranch Rub,Bone Out Wing,80,4g,6g,5g
542,,Traditional,80,4.5g,< 1g,9g
543,Smoky Garlic,Bone Out Wing,110,6g,9g,5g
544,,Traditional,120,7g,5g,9g
545,Spicy Garlic,Bone Out Wing,110,6g,8g,5g
546,,Traditional,120,8g,3g,9g
547,Buffalo Burnin' Hot Sauce,per 1 Bone Out Wing,15,0g,3g,0g
548,,per 1 Traditional Wing,20,0g,5g,0g
549,Buffalo Medium Sauce,per 1 Bone Out Wing,15,0g,3g,0g
550,,per 1 Traditional Wing,20,0g,4g,0g
551,Buffalo Mild Sauce,per 1 Bone Out Wing,15,0g,3g,0g
552,,per 1 Traditional Wing,20,0g,5g,0g
553,Cajun-Style Rub,per 1 Bone Out Wing,0,0g,0g,0g
554,,per 1 Traditional Wing,0,0g,0g,0g
555,Garlic Parmesan Sauce,per 1 Bone Out Wing,45,5g,0g,0g
556,,per 1 Traditional Wing,60,7g,0g,0g
557,Hawaiian Teriyaki Sauce,per 1 Bone Out Wing,15,0g,3g,0g
558,,per 1 Traditional Wing,15,0g,4g,0g
559,Honey BBQ Sauce,per 1 Bone Out Wing,30,0g,7g,0g
560,,per 1 Traditional Wing,40,0g,10g,0g
561,Lemon Pepper Rub,per 1 Bone Out Wing,0,0g,0g,0g
562,,per 1 Traditional Wing,0,0g,0g,0g
563,Smoky Garlic Sauce,per 1 Bone Out Wing,30,2g,3g,0g
564,,per 1 Traditional Wing,40,2.5g,5g,0g
565,Spicy Garlic Sauce,per 1 Bone Out Wing,30,2.5g,2g,0g
566,,per 1 Traditional Wing,40,3g,2g,0g
567,Bacon Cheddar Fries w/ Ranch Dipping Cup,,1420,99g,104g,29g
568,Bacon Cheesesticks (each),,190,9g,20g,8g
569,Baked Bone-Out Wing (1),,60,2g,4g,5g
570,Baked Cream Cheese Stuffed Jalpeno (1),,100,5g,10g,2g
571,Baked Mozzarella Cheese Stick (1),,80,4.5g,6g,3g
572,Baked Onion Rings w/ Ketchup,,560,25g,78g,8g
573,Baked Quepapas w/ Ranch Dipping Cup,,650,44g,51g,13g
574,Bakery-Style Breadsticks *Local Specialty* (each),,150,5g,22g,5g
575,Breadstick Appetizer Sampler *Local Specialty*,,930,38g,118g,30g
576,Breadsticks (each),,140,4.5g,19g,4g
577,Breadsticks w/ Cheese,,150,4.5g,20g,7g
578,Breadsticks with Extra Cheese (each),,210,10g,21g,10g
579,Bruschetta (1 piece),,280,19g,20g,8g
580,Buffalo Chicken Nachos,,1110,50g,132g,37g
581,Cheesy Dip 'N Chips,,660,36g,78g,9g
582,Fried Mozzarella Cheese Stick (1),,80,5g,7g,2g
583,Fried Nacho Straight-Cut Fries,,1320,77g,133g,24g
584,Fried Onion Rings w/ Ketchup,,860,50g,93g,10g
585,Fried Quepapas w/ Ranch Dipping Cup,,690,46g,55g,13g
586,Garlic Bread (1 piece),Regular,140,8g,15g,3g
587,,w/ Cheese,210,13g,16g,7g
588,Garlic Cheesesticks (each),,180,7g,21g,7g
589,Lay's Classic Potato Chips,,150,10g,15g,2g
590,Old Fashioned Breadsticks *Local Specialty*,1/10 Large (each),200,6g,27g,9g
591,,1/8 Medium (each),180,5g,26g,8g
592,"Sampler Platter *Local Specialty* w/ Marinara, Ranch and Honey Mustard Cups",Full Order,2400,153g,204g,53g
593,,Half Order,1430,95g,114g,28g
594,Saucy BBQ Wing (1),,60,3.5g,2g,5g
595,Saucy Buffalo Wing (1),,60,3.5g,1g,5g
596,Stuffed Garlic Knot (1),,80,2.5g,10g,3g
597,Stuffed Pizza Roller (1),,230,10g,27g,9g
598,Twisty Cheese Stick (each),,430,14g,59g,14g
599,WingStreet Straight-Cut Fries w/ Ketchup,,500,24g,67g,4g
600,,w/ Cajun Style Seasoning,510,24g,69g,4g
601,,w/ Lemon Pepper Seasoning,510,24g,69g,4g
602,Barbeque Dipping Sauce,3 oz / 85g,210,0g,51g,< 1g
603,Blue Cheese Dipping Sauce,1.5 oz / 43g,220,23g,2g,1g
604,Breadstick Dipping Sauce,3 oz / 85g,45,0g,9g,1g
605,Buffalo Dipping Sauce,3 oz / 85g,140,0g,35g,0g
606,Buffalo Ranch Dipping Sauce,3 oz,290,30g,3g,1g
607,Cheese Dipping Sauce,3 oz,250,20g,11g,6g
608,Extra Pizza BBQ Dipping Sauce,51.7g,120,1g,31g,1g
609,Extra Pizza Buffalo Dipping Sauce,50ggrams,80,1g,21g,1g
610,Garlic Dipping Sauce Cup,1.5 oz,100,10g,3g,0g
611,Heinz Dip and Squeeze Ketchup,1 packet,30,0g,8g,0g
612,Honey Mustard Dipping Cup,1.5 oz,200,18g,11g,< 1g
613,Marinara Dipping Cup,2 oz,30,0g,6g,< 1g
614,Nacho Cheese Sauce Souffle Cup,2 oz,90,6g,7g,< 1g
615,,3 oz,130,10g,10g,1g
616,Ranch Dipping Sauce,1.5 oz,210,22g,2g,0g
617,Ranch Dressing Souffle Cup,2 oz,180,18g,3g,2g
618,Broccoli & Cheese Soup w/ Club Crackers,Bowl,530,37g,35g,15g
619,,Cup,280,19g,20g,8g
620,Creamy Tomato Basil Soup w/ Club Crackers,Bowl,390,23g,37g,9g
621,,Cup,210,12g,21g,5g
622,Loaded Baked Potato Soup w/ Club Crackers,Bowl,600,40g,41g,21g
623,,Cup,320,21g,23g,11g
624,Diet Pepsi®,2 L,0,0g,0g,0g
625,,20 fl oz,0,0g,0g,0g
626,Mist Twst®,2 L,840,0g,218g,0g
627,,20 fl oz,240,0g,65g,0g
628,Mountain Dew®,2 L,950,0g,257g,0g
629,,20 fl oz,290,0g,77g,0g
630,Pepsi®,2 L,840,0g,229g,0g
631,,20 fl oz,250,0g,69g,0g
632,Cinnamon Stick (1 small piece),47g,80,2.5g,13g,2g
633,Cinnamon Sticks White Icing Dipping Cup,57g,180,0g,44g,0g
634,Dessert Pizza (medium),Apple (1 slice),250,4g,50g,4g
635,,Blueberry (1 slice),230,4g,46g,4g
636,,Cherry (1 slice),240,4g,47g,4g
637,HERSHEY'S® Hot Chocolate Brownie,1 square,290,11g,45g,3g
638,HERSHEY'S® Toasted S'Mores Cookie,1 slice,240,10g,33g,3g
639,HERSHEY'S® Triple Chocolate Brownie,1/6th square,380,16g,56g,5g
640,HERSHEY'S® Triple Chocolate Brownie,1/9 square,260,11g,37g,3g
641,Hot Cinnamon Apple Pie,Regular,170,9g,22g,< 1g
642,,Apple Pie Caramel Sauce,270,1.5g,63g,< 1g
643,"Individual (4"") HERSHEY'S¨ Chocolate Chip Cookie",,300,14g,45g,3g
644,Individual Chocolate Chip Cookie (1.25 oz) *Local Specialty*,,170,8g,23g,2g
645,New York Style Cheesecake,Regular,840,57g,69g,14g
646,,w/ Apple Sauce,990,57g,108g,14g
647,,w/ Blueberry Sauce,960,57g,100g,14g
648,,w/ Caramel Sauce,930,57g,90g,14g
649,,w/ Cherry Sauce,970,57g,101g,15g
650,The Ultimate HERSHEY'S® Chocolate Chip Cookie,1/6 slice,260,12g,35g,3g
651,,1/8 slice,200,9g,26g,2g
652,"Bacon, Egg & Cheese Biscuit",,410,26g,28g,15g
653,Breakfast Pizza,whole pizza,1250,61g,124g,53g
654,Egg & Cheese Biscuit,,370,22g,28g,12g
655,Hashbrowns,,190,9g,27g,2g
656,Sausage Biscuit,,400,28g,25g,12g
657,"Sausage, Egg & Cheese Biscuit",,550,40g,28g,20g
658,Beer,Light 12 fl oz,100,0g,6g,1g
659,,Regular 12 fl oz,150,0g,13g,2g
660,Bud Light,12 fl oz,110,0g,7g,< 1g
661,Budweiser,12 fl oz,150,0g,11g,1g
662,Busch Light,12 fl oz,100,0g,3g,< 1g
663,Coors,Regular 12 fl oz,150,0g,11g,1g
664,,Lite 12 fl oz,100,0g,5g,< 1g
665,Corona Extra,12 fl oz,150,0g,14g,1g
666,Dessert/Sweet Wine,6 fl oz,280,0g,24g,0g
667,Domestic Beer,12 fl oz,150,0g,13g,2g
668,Dos Equis Lager,12 fl oz,150,0g,12g,0g
669,Heineken,12 fl oz,150,0g,12g,0g
670,Michelob Ultra,12 fl oz,100,0g,3g,< 1g
671,Miller,Regular 12 fl oz,140,0g,13g,1g
672,,Lite 12 fl oz,100,0g,3g,< 1g
673,Premium Beer,12 fl oz,150,0g,13g,2g
674,Red Wine,6 fl oz,150,0g,5g,0g
675,Shiner,12 fl oz,150,0g,13g,2g
676,Sparkling Wine,6 fl oz,160,0g,5g,0g
677,Tecate,12 fl oz,150,0g,13g,2g
678,White Wine,6 fl oz,150,0g,5g,0g
679,Yuengling,12 fl oz,140,0g,12g,1g
680,Ziegenbock,12 fl oz,150,0g,11g,< 1g
681,Cheese,54.6g,140,11g,3g,9g
682,Cheese,28.9g,80,6g,1g,5g
683,Cheese,36.1g,100,7g,2g,6g
684,Cheese,19.8g,50,4g,< 1g,3g
685,Cheese,24.7g,70,5g,1g,4g
686,Cheese,19.8g,50,4g,< 1g,3g
687,Cheese,12.8g,35,2.5g,< 1g,2g
688,Cheese,19.8g,50,4g,< 1g,3g
689,Cheese,11.5g,30,2.5g,< 1g,2g
690,Cheese,92.1g,240,18g,4g,16g
691,Feta Cheese,19.8g,50,4g,< 1g,3g
692,Provolone Cheese,45.4g,160,12g,0g,11g
693,"Hand Tossed Crust (18"") (with flour)",128.6g,310,4g,58g,10g
694,Udi's® Gluten-Free Crust,19.7g,60,1g,12g,1g
695,Hand Tossed Crust,65.6g,160,2g,30g,5g
696,Original Pan™ Crust,79.5g,220,8g,32g,7g
697,Original Stuffed Crust,88.9g,220,7g,31g,9g
698,Thin 'N Crispy® Crust,46.1g,130,1g,24g,4g
699,Ultimate Cheesy Crust (Limited Time),98.2g,270,10g,31g,13g
700,Hand Tossed Crust,49.6g,120,1.5g,22g,4g
701,Original Pan™ Crust,58.3g,150,4g,25g,4g
702,Thin 'N Crispy® Crust,35.4g,100,1g,19g,3g
703,Pan Crust (Personal),37.4g,100,2.5g,15g,3g
704,Rectangular Crust,59.7g,160,4g,26g,5g
705,Hand Tossed Crust,31.9g,80,1g,14g,3g
706,Original Pan™ Crust,33.9g,90,2.5g,14g,3g
707,Thin 'N Crispy® Crust,21.3g,60,0.5g,11g,2g
708,Hand Tossed Crust,255.1g,610,8g,115g,20g
709,Thin 'N Crispy® Crust,170.1g,460,4.5g,90g,15g
710,Buttery Blend Crust Flavor,1.6g,10,1g,0g,0g
711,Garlic Buttery Blend Crust Flavor,1.5g,10,1g,0g,0g
712,Hut Favorite Crust Flavor,1.5g,15,1g,0g,0g
713,Parmesan/Parsley,1.1g,0,0g,0g,0g
714,Toasted Parmesan Crust Flavor,5.7g,20,1.5g,0g,2g
715,Buttery Blend Crust Flavor,1.2g,5,1g,0g,0g
716,Garlic Buttery Blend Crust Flavor,1.1g,5,0.5g,0g,0g
717,Hut Favorite Crust Flavor,1.1g,10,1g,0g,0g
718,Toasted Parmesan Crust Flavor,2.8g,10,0.5g,0g,< 1g
719,Buttery Blend Crust Flavor,1.2g,5,1g,0g,0g
720,Garlic Buttery Blend Crust Flavor,1.1g,5,0.5g,0g,0g
721,Hut Favorite Crust Flavor,1.1g,10,1g,0g,0g
722,Toasted Parmesan Crust Flavor,2.8g,10,0.5g,0g,< 1g
723,Buttery Blend Crust Flavor,1.2g,5,1g,0g,0g
724,Garlic Buttery Blend Crust Flavor,1.1g,5,0.5g,0g,0g
725,Hut Favorite Crust Flavor,1.1g,10,1g,0g,0g
726,Toasted Parmesan Crust Flavor,2.8g,10,0.5g,0g,< 1g
727,Buttery Blend Crust Flavor,2.4g,15,1.5g,0g,0g
728,Garlic Buttery Blend Crust Flavor,1.3g,10,0.5g,0g,0g
729,Hut Favorite Crust Flavor,1.3g,15,1g,0g,0g
730,Toasted Parmesan Crust Flavor,2.8g,10,0.5g,0g,< 1g
731,Buttery Blend Crust Flavor,1.2g,5,1g,0g,0g
732,Garlic Buttery Blend Crust Flavor,1.1g,5,0.5g,0g,0g
733,Hut Favorite Crust Flavor,1.1g,10,1g,0g,0g
734,Toasted Parmesan Crust Flavor,2.8g,10,0.5g,0g,< 1g
735,Buttery Blend Crust Flavor,1.2g,5,1g,0g,0g
736,Garlic Buttery Blend Crust Flavor,0.7g,0,0g,0g,0g
737,Hut Favorite Crust Flavor,0.7g,5,0.5g,0g,0g
738,Toasted Parmesan Crust Flavor,1.4g,5,0g,0g,0g
739,Garlic Buttery Blend Crust Flavor,5.4g,30,3g,1g,0g
740,Toasted Parmesan Crust Flavor,11.3g,45,3g,< 1g,4g
741,Barbeque Drizzle,10.2g,25,0g,6g,0g
742,Buffalo Drizzle,9g,15,0g,4g,0g
743,Sweet Chili Drizzle,11.4g,25,0g,6g,0g
744,Barbeque Drizzle,6.3g,15,0g,4g,0g
745,Buffalo Drizzle,6.1g,10,0g,3g,0g
746,Mayonnaise,10.6g,80,8g,< 1g,0g
747,Barbeque Drizzle,6.3g,15,0g,4g,0g
748,Buffalo Drizzle,6.1g,10,0g,3g,0g
749,Mayonnaise,7.1g,60,6g,< 1g,0g
750,Barbeque Drizzle,12.7g,30,0g,8g,0g
751,Buffalo Drizzle,12.3g,20,0g,5g,0g
752,Mayonnaise,3.5g,30,3g,0g,0g
753,Barbeque Drizzle,6.3g,15,0g,4g,0g
754,Buffalo Drizzle,6.1g,10,0g,3g,0g
755,Mayonnaise,7.1g,60,6g,< 1g,0g
756,Barbeque Drizzle,6.3g,15,0g,4g,0g
757,Buffalo Drizzle,6.1g,10,0g,3g,0g
758,Mayonnaise,3.5g,30,3g,0g,0g
759,Barbeque Drizzle,50.7g,120,0g,30g,0g
760,Buffalo Drizzle,49g,80,0g,20g,0g
761,BBQ Beef,35.8g,90,5g,5g,5g
762,Bean Pizza Sauce,32.6g,45,2.5g,5g,1g
763,Cheddar for Fiesta Taco Pizzas,7.3g,30,2g,< 1g,2g
764,Chopped Garlic,5.3g,10,0g,2g,0g
765,Lettuce,16.9g,0,0g,< 1g,0g
766,Parmesan Oregano Seasoning,0.8g,0,0g,0g,0g
767,Sauerkraut,42.5g,10,0g,2g,0g
768,Sliced Roma Tomatoes,28.1g,5,0g,1g,0g
769,Taco Tortilla Chips,6.7g,35,2g,4g,0g
770,BBQ Beef,23.9g,60,3.5g,3g,3g
771,Bean Pizza Sauce,24.5g,35,2g,4g,1g
772,Cheddar for Fiesta Taco Pizzas,5g,20,1.5g,0g,1g
773,Chopped Garlic,3.5g,5,0g,1g,0g
774,Lettuce,12.7g,0,0g,0g,0g
775,Parmesan Oregano Seasoning,0.7g,0,0g,0g,0g
776,Sauerkraut,28.3g,5,0g,1g,0g
777,Sliced Roma Tomatoes,20.6g,0,0g,< 1g,0g
778,Taco Tortilla Chips,6.7g,35,2g,4g,0g
779,BBQ Beef,11.9g,30,1.5g,2g,2g
780,Bean Pizza Sauce,9.8g,15,0.5g,1g,0g
781,Cheddar for Fiesta Taco Pizzas,3.2g,10,1g,0g,< 1g
782,Chopped Garlic,1.8g,0,0g,< 1g,0g
783,Lettuce,8.4g,0,0g,0g,0g
784,Sauerkraut,14.2g,0,0g,< 1g,0g
785,Sliced Roma Tomatoes,11.3g,0,0g,0g,0g
786,Taco Tortilla Chips,4.3g,25,1g,3g,0g
787,BBQ Beef,23.9g,60,3.5g,3g,3g
788,Bean Pizza Sauce,24.5g,35,2g,4g,1g
789,Cheddar for Fiesta Taco Pizzas,5g,20,1.5g,0g,1g
790,Chopped Garlic,3.5g,5,0g,1g,0g
791,Lettuce,12.7g,0,0g,0g,0g
792,Sauerkraut,28.3g,5,0g,1g,0g
793,Sliced Roma Tomatoes,20.6g,0,0g,< 1g,0g
794,Taco Tortilla Chips,6.7g,35,2g,4g,0g
795,BBQ Beef,11.9g,30,1.5g,2g,2g
796,Bean Pizza Sauce,9.8g,15,0.5g,1g,0g
797,Cheddar for Fiesta Taco Pizzas,2.9g,10,1g,0g,< 1g
798,Chopped Garlic,3.2g,0,0g,1g,0g
799,Lettuce,8.4g,0,0g,0g,0g
800,Sauerkraut,14.2g,0,0g,< 1g,0g
801,Sliced Roma Tomatoes,15g,0,0g,< 1g,0g
802,Taco Tortilla Chips,4.6g,25,1g,3g,0g
803,Barbeque Pizza Sauce,12.3g,30,0g,7g,0g
804,Buffalo Pizza Sauce,14g,25,0g,6g,0g
805,Creamy Garlic Parmesan Pizza Sauce,27.7g,50,5g,2g,1g
806,Kraft Buttermilk Ranch,24.1g,90,9g,2g,0g
807,Premium Crushed Tomato Pizza Sauce,35g,15,0g,3g,< 1g
808,Classic Marinara Pizza Sauce,13.5g,5,0g,2g,0g
809,Barbeque Pizza Sauce,7.3g,20,0g,4g,0g
810,Buffalo Pizza Sauce,6.9g,10,0g,3g,0g
811,Classic Marinara Pizza Sauce,17.1g,10,0g,2g,0g
812,Creamy Garlic Parmesan Pizza Sauce,13.9g,25,2.5g,< 1g,< 1g
813,Premium Crushed Tomato Pizza Sauce,16.9g,10,0g,2g,0g
814,Barbeque Pizza Sauce,7.3g,20,0g,4g,0g
815,Buffalo Pizza Sauce,6.9g,10,0g,3g,0g
816,Classic Marinara Pizza Sauce,17.1g,10,0g,2g,0g
817,Creamy Garlic Parmesan Pizza Sauce,13.9g,25,2.5g,< 1g,< 1g
818,Premium Crushed Tomato Pizza Sauce,16.9g,10,0g,2g,0g
819,Barbeque Pizza Sauce,7.3g,20,0g,4g,0g
820,Buffalo Pizza Sauce,6.9g,10,0g,3g,0g
821,Classic Marinara Pizza Sauce,17.1g,10,0g,2g,0g
822,Creamy Garlic Parmesan Pizza Sauce,13.9g,25,2.5g,< 1g,< 1g
823,Premium Crushed Tomato Pizza Sauce,16.9g,10,0g,2g,0g
824,Barbeque Pizza Sauce,7.3g,20,0g,4g,0g
825,Buffalo Pizza Sauce,6.9g,10,0g,3g,0g
826,Classic Marinara Pizza Sauce,21.9g,10,0g,3g,0g
827,Creamy Garlic Parmesan Pizza Sauce,19.3g,40,3.5g,1g,< 1g
828,Premium Crushed Tomato Pizza Sauce,21.3g,10,0g,2g,0g
829,Barbeque Pizza Sauce,4.9g,10,0g,3g,0g
830,Buffalo Pizza Sauce,4.6g,10,0g,2g,0g
831,Classic Marinara Pizza Sauce,12.2g,5,0g,1g,0g
832,Creamy Garlic Parmesan Pizza Sauce,10.4g,20,2g,< 1g,0g
833,Premium Crushed Tomato Pizza Sauce,13.1g,5,0g,1g,0g
834,Barbeque Pizza Sauce,4.9g,10,0g,3g,0g
835,Buffalo Pizza Sauce,4.6g,10,0g,2g,0g
836,Classic Marinara Pizza Sauce,12.2g,5,0g,1g,0g
837,Creamy Garlic Parmesan Pizza Sauce,10.4g,20,2g,< 1g,0g
838,Premium Crushed Tomato Pizza Sauce,13.1g,5,0g,1g,0g
839,Barbeque Pizza Sauce,4.9g,10,0g,3g,0g
840,Buffalo Pizza Sauce,4.6g,10,0g,2g,0g
841,Classic Marinara Pizza Sauce,17.1g,10,0g,2g,0g
842,Creamy Garlic Parmesan Pizza Sauce,13.9g,25,2.5g,< 1g,< 1g
843,Premium Crushed Tomato Pizza Sauce,16.9g,10,0g,2g,0g
844,Barbeque Pizza Sauce,2.3g,5,0g,1g,0g
845,Buffalo Pizza Sauce,2.1g,0,0g,< 1g,0g
846,Classic Marinara Pizza Sauce,9g,0,0g,1g,0g
847,Creamy Garlic Parmesan Pizza Sauce,6.9g,15,1g,0g,0g
848,Premium Crushed Tomato Pizza Sauce,9.4g,0,0g,< 1g,0g
849,Barbeque Pizza Sauce,4.9g,10,0g,3g,0g
850,Buffalo Pizza Sauce,4.6g,10,0g,2g,0g
851,Classic Marinara Pizza Sauce,12.2g,5,0g,1g,0g
852,Creamy Garlic Parmesan Pizza Sauce,10.4g,20,2g,< 1g,0g
853,Premium Crushed Tomato Pizza Sauce,13.1g,5,0g,1g,0g
854,Barbeque Pizza Sauce,17.6g,45,0g,11g,0g
855,Buffalo Pizza Sauce,16.4g,30,0g,7g,0g
856,Classic Marinara Pizza Sauce,36g,20,0g,4g,0g
857,Creamy Garlic Parmesan Pizza Sauce,27.5g,50,4.5g,2g,1g
858,Premium Crushed Tomato Pizza Sauce,37.7g,20,0g,4g,< 1g
859,Barbeque Pizza Sauce,17.6g,45,0g,11g,0g
860,Buffalo Pizza Sauce,16.4g,30,0g,7g,0g
861,Classic Marinara Pizza Sauce,72g,35,0g,9g,0g
862,Creamy Garlic Parmesan Pizza Sauce,55g,110,9g,3g,2g
863,Premium Crushed Tomato Pizza Sauce,75.4g,35,0g,7g,1g
864,Barbeque Pizza Sauce,2.2g,5,0g,1g,0g
865,Buffalo Pizza Sauce,2.1g,0,0g,< 1g,0g
866,Classic Marinara Pizza Sauce,9g,0,0g,1g,0g
867,Creamy Garlic Parmesan Pizza Sauce,6.9g,15,1g,0g,0g
868,Premium Crushed Tomato Pizza Sauce,9.4g,0,0g,< 1g,0g
869,Barbeque Pizza Sauce,2.2g,5,0g,1g,0g
870,Buffalo Pizza Sauce,2.1g,0,0g,< 1g,0g
871,Classic Marinara Pizza Sauce,9g,0,0g,1g,0g
872,Creamy Garlic Parmesan Pizza Sauce,6.9g,15,1g,0g,0g
873,Premium Crushed Tomato Pizza Sauce,9.4g,0,0g,< 1g,0g
874,Barbeque Pizza Sauce,2.2g,5,0g,1g,0g
875,Buffalo Pizza Sauce,2.1g,0,0g,< 1g,0g
876,Classic Marinara Pizza Sauce,12.2g,5,0g,1g,0g
877,Creamy Garlic Parmesan Pizza Sauce,10.4g,20,2g,< 1g,0g
878,Premium Crushed Tomato Pizza Sauce,13.1g,5,0g,1g,0g
879,Applewood Smoked Bacon,18.4g,80,7g,0g,3g
880,Beef,30.1g,110,10g,< 1g,4g
