,Food,Variety,Calories,Fat,Carbs,Protein
162,Provolone Cheese,,60,4.5,0,4
163,Real Cheddar Cheese,,70,6,1,4
164,Real Swiss Cheese,,70,6,0,5
165,Swiss Style Cheese,,40,3,1,2
166,Barbecue Dipping Sauce,,40,0,10,0
167,Buttermilk House Dipping Sauce,,130,13,3,0
168,Fire Roasted Salsa,,5,0,1,0
169,Frank’s® RedHot® Buffalo Dipping Sauce,,10,0,2,0
170,Honey Mustard Dipping Sauce,,60,2,11,0
171,Log Cabin® Syrup,,190,0,49,0
172,Sweet & Sour Dipping Sauce,,45,0,11,0
173,Tartar Sauce (Seasonal),,150,16,2,0
174,Teriyaki Dipping Sauce,,60,1,11,1
175,Zesty Marinara Dipping Sauce,,15,0,4,0
176,Chipotle Sauce,(0.70 oz.),110,12,1,0
177,Creamy Italian Sauce,(0.44 oz.),70,7,1,0
178,Creamy Ranch Sauce,(0.53 oz.),80,9,1,0
179,Ketchup,(0.57 oz.),20,0,5,0
180,Mayo-Onion Sauce,(0.27 oz.),45,5,0,0
181,Mustard,(0.23 oz.),5,0,0,0
182,Peppercorn Mayo Sauce,(1.00 oz.),190,20,1,0
183,Sun Dried Tomato Sauce,(0.57 oz.),70,8,1,0
184,Fire Roasted Salsa,,10,0,2,0
185,Grape Jelly,,35,0,9,0
186,Grilled Onions,,10,0,2,0
187,Ketchup,,10,0,3,0
188,Mayonnaise,,80,9,0,0
189,Mustard,,5,0,0,0
190,Pride® Margarine Spread,,20,2.5,0,0
191,Sour Cream,,60,5,2,1
192,Soy Sauce,,5,---,1,1
193,Strawberry Jam,,35,0,9,0
194,Taco Sauce,,0,0,0,0
