,Food,Size/Variety,Calories,Fat,Carbs,Protein
129,,Full,620,39,0,64
130,Gulf Snapper,,230,4.5,0,45
131,Pacific Snapper,,160,2.5,0,32
132,Fresh Sole,,200,4.5,0,35
133,Tilapia,Lunch/Half,210,6,0,41
134,,Full,430,11,0,82
135,Tuna,,250,2.5,0,52
136,Wahoo,,300,18,0,33
137,Live Maine Lobster 1 1/4 pound,Steamed,530,35,0,54
138,,Roasted and Stuffed,440,10,21,65
139,Hand-Shucked Oysters on the Half Shell* - Steamed,1/2 dozen,440,35,21,7
140,,Dozen,510,37,27,13
141,Hand-Shucked Oysters on the Half Shell* - Raw,1/2 dozen,180,3.5,27,9
142,,Dozen,250,5,34,16
143,Steamed Clams*,,670,36,49,34
144,Steamed North Pacific King Crab Legs*,,680,39,0,76
145,Crab Cakes*,,350,20,10,30
146,Cajun Chicken Linguini Alfredo,Lunch,750,37,57,45
147,,Full,1170,45,106,82
148,Classic Caesar Salad,,520,46,18,10
149,,with Chicken,640,48,19,34
150,,with Fresh Salmon,830,65,18,42
151,,with Shrimp,580,46,18,24
152,Coastal Soup and Grilled Shrimp Salad,New England Clam Chowder,530,34,35,22
153,,Lobster and Langostino Bisque,710,48,43,25
154,,Creamy Potato Bacon Soup*,660,43,54,19
155,,Manhattan Clam Chowder*,350,13,36,25
156,,(Seafood Gumbo*,470,20,50,24
157,Crab Linguini Alfredo,Lunch,940,61,60,40
158,,Full,1910,121,119,79
159,Crunch-Fried Fish Sandwich,,1380,76,136,34
160,Crunchy Popcorn Shrimp,,420,18,49,17
161,Farm-Raised Catfish,Blackened,220,8,0,37
162,,Golden-fried,440,31,7,31
163,Garlic Shrimp Scampi,,260,20,3,17
164,Hand-Battered Fish and Chips,,970,54,80,43
165,Hand-Breaded Shrimp,,310,14,26,19
166,Maple-Glazed Chicken,,330,4.5,46,27
167,Sailor's Platter,,480,19,18,54
168,Shrimp Linguini Alfredo,Lunch,620,32,55,27
169,,Full,1220,63,109,52
170,Shrimp and Wood-Grilled Chicken,Hand-Breaded Shrimp,450,12,45,39
171,,Garlic Shrimp Scampi,400,15,27,39
172,,Wood-Grilled Shrimp Skewer,310,7,26,34
173,Wild-Caught Flounder/Sole,Golden-fried,520,36,21,27
174,,Oven-broiled,160,3.5,0,29
175,,Baked with crab-and-seafood stuffing,230,13,8,20
