,Food,Serving Size,Calories,Fat,Carbs,Protein
452,Espresso,Single Shot,5,0,1,0
453,Espresso with Sugar,Single Shot,30,0,7,0
454,Caramel Mocha Swirl Hot Latte with Milk,Large,450,12,70,14
455,,Medium,330,9,52,11
456,,Small,220,6,35,7
457,Caramel Mocha Swirl Hot Latte with Skim Milk,Large,350,1,70,15
458,,Medium,260,0.5,53,11
459,,Small,170,0,35,7
460,Caramel Swirl Hot Latte with Milk,Large,460,12,73,14
461,,Medium,350,9,55,11
462,,Small,230,6,37,7
463,Caramel Swirl Hot Latte with Skim Milk,Large,360,0,73,15
464,,Medium,270,0,55,11
465,,Small,190,0,38,8
466,French Vanilla Swirl Hot Latte with Skim Milk,Large,350,0,71,15
467,,Medium,270,0,54,11
468,,Small,180,0,36,8
469,French Vanilla Swirl Hot Latte with Whole Milk,Large,450,12,71,14
470,,Medium,340,9,53,11
471,,Small,230,6,36,7
472,Hazelnut Swirl Hot Latte with Skim Milk,Large,350,0,72,15
473,,Medium,270,0,54,11
474,,Small,180,0,37,8
475,Hazelnut Swirl Hot Latte with Whole Milk,Large,450,12,71,14
476,,Medium,340,9,54,11
477,,Small,230,6,36,7
478,Hot Latte with Almond Milk,Large,160,4.5,28,2
479,,Medium,120,3,21,1
480,,Small,80,2,14,1
481,Hot Latte with Skim Milk,Large,140,0,20,13
482,,Medium,100,0,15,10
483,,Small,70,0,10,6
484,Hot Latte with Skim Milk and Sugar,Large,270,0,55,13
485,,Medium,200,0,41,10
486,,Small,140,0,28,6
487,Hot Latte with Whole Milk,Large,230,12,19,12
488,,Medium,170,9,14,9
489,,Small,120,6,10,6
490,Hot Latte with Whole Milk and Sugar,Large,370,12,54,12
491,,Medium,280,9,40,9
492,,Small,170,6,27,6
493,Mocha Swirl Hot Latte With Milk,Large,460,13,72,13
494,,Medium,350,10,54,10
495,,Small,230,6,37,7
496,Mocha Swirl Hot Latte with Skim Milk,Large,360,1.5,73,14
497,,Medium,270,1,55,11
498,,Small,180,0.5,37,7
499,Caramel Swirl Hot Macchiato with Skim Milk,Large,310,0,66,11
500,,Medium,240,0,49,8
501,,Small,160,0,33,6
502,Caramel Swirl Hot Macchiato with Whole Milk,Large,380,8,65,10
503,,Medium,290,6,49,8
504,,Small,190,4,33,5
505,French Vanilla Swirl Hot Macchiato with Skim Milk,Large,310,0,66,11
506,,Medium,240,0,49,8
507,,Small,160,0,33,6
508,French Vanilla Swirl Hot Macchiato with Whole Milk,Large,380,8,65,10
509,,Medium,280,6,49,8
510,,Small,190,4,33,5
511,Hazelnut Swirl Hot Macchiato with Skim Milk,Large,310,0,66,11
512,,Medium,240,0,50,8
513,,Small,160,0,33,6
514,Hazelnut Swirl Hot Macchiato with Whole Milk,Large,380,8,65,10
515,,Medium,290,6,49,8
516,,Small,190,4,33,5
517,Hot Macchiato with Skim Milk,Large,100,0,14,8
518,,Medium,70,0,11,6
519,,Small,50,0,8,4
520,Hot Macchiato with Whole Milk,Large,160,8,14,8
521,,Medium,120,6,11,6
522,,Small,80,4,7,4
523,Mocha Swirl Hot Macchiato with Skim Milk,Large,310,1,65,10
524,,Medium,240,1,49,8
525,,Small,160,0.5,33,5
526,Mocha Swirl Hot Macchiato with Whole Milk,Large,380,9,65,10
527,,Medium,280,7,49,7
528,,Small,190,4.5,33,5
529,Vanilla Chai,Large,450,12,75,14
530,,Medium,340,9,56,10
531,,Small,230,6,37,7
532,Bold Breakfast Black Tea,Large,---,---,---,---
533,,Medium,---,---,---,---
534,,Small,---,---,---,---
535,Chamomile Fields Herbal Infusion,Large,---,---,---,---
536,,Medium,---,---,---,---
537,,Small,---,---,---,---
538,Cool Mint Herbal Infusion,Large,---,---,---,---
539,,Medium,---,---,---,---
540,,Small,---,---,---,---
541,Decaf Breakfast Black Tea,Large,---,---,---,---
542,,Medium,---,---,---,---
543,,Small,---,---,---,---
544,Harmony Leaf Green Tea,Large,---,---,---,---
545,,Medium,---,---,---,---
546,,Small,---,---,---,---
547,Hibiscus Kiss Herbal Infusion,Large,---,---,---,---
548,,Medium,---,---,---,---
549,,Small,---,---,---,---
550,Iced Apple Cider,Large,260,0,66,0
551,,Medium,180,0,45,0
552,,Small,120,0,31,0
553,Caramel Mocha Swirl Iced Coffee,Large,230,0,54,4
554,,Medium,180,0,41,3
555,,Small,120,0,27,2
556,Caramel Mocha Swirl Iced Coffee with Cream,Large,350,12,56,5
557,,Medium,260,9,42,4
558,,Small,180,6,28,3
559,Caramel Swirl Iced Coffee,Large,230,0,52,5
560,,Medium,170,0,39,4
561,,Small,110,0,26,2
562,Caramel Swirl Iced Coffee with Cream,Large,340,12,54,6
563,,Medium,260,9,41,5
564,,Small,170,6,27,3
565,French Vanilla Swirl Iced Coffee,Large,230,0,54,4
566,,Medium,170,0,40,3
567,,Small,120,0,27,2
568,French Vanilla Swirl Iced Coffee with Cream,Large,350,12,56,5
569,,Medium,260,9,42,4
570,,Small,170,6,28,3
571,Hazelnut Swirl Iced Coffee,Large,230,0,54,4
572,,Medium,170,0,41,3
573,,Small,120,0,27,2
574,Hazelnut Swirl Iced Coffee with Cream,Large,350,12,56,5
575,,Medium,260,9,42,4
576,,Small,180,6,28,3
577,Iced Coffee,Large,20,0,3,1
578,,Medium,15,0,2,1
579,,Small,10,0,2,1
580,Iced Coffee with Almond Milk,Large,50,1,9,1
581,,Medium,35,0.5,7,1
582,,Small,20,0,4,1
583,Iced Coffee with Cream,Large,130,11,5,3
584,,Medium,100,9,4,2
585,,Small,70,6,3,1
586,Iced Coffee with Cream and Sugar,Large,270,11,40,3
587,,Medium,200,9,30,2
588,,Small,120,6,20,1
589,Iced Coffee with Milk,Large,50,2,6,3
590,,Medium,40,1.5,5,2
591,,Small,30,1,3,2
592,Iced Coffee with Milk and Sugar,Large,190,2,41,3
593,,Medium,140,1.5,31,2
594,,Small,90,1,21,2
595,Iced Coffee with Skim Milk,Large,40,0,6,3
596,,Medium,30,0,5,2
597,,Small,20,0,3,2
598,Iced Coffee with Skim Milk and Splenda® No Calorie Sweetener,Large,50,0,10,3
599,,Medium,40,0,7,2
600,,Small,25,0,5,2
601,Iced Coffee with Skim Milk and Sugar,Large,170,0,41,3
602,,Medium,130,0,31,2
603,,Small,80,0,21,2
604,Iced Coffee with Splenda® No Calorie Sweetener,Large,35,0,7,1
605,,Medium,25,0,5,1
606,,Small,20,0,4,1
607,Iced Coffee with Sugar,Large,150,0,38,1
608,,Medium,110,0,29,1
609,,Small,70,0,19,1
610,Mocha Swirl Iced Coffee with Cream,Large,350,12,56,5
611,,Medium,260,9,42,3
612,,Small,180,6,28,2
613,Caramel Mocha Swirl Iced Latte with Milk,Large,450,12,70,14
614,,Medium,330,9,52,11
615,,Small,220,6,35,7
616,Caramel Mocha Swirl Iced Latte with Skim Milk,Large,350,1,70,15
617,,Medium,260,0.5,53,11
618,,Small,170,0,35,7
619,Caramel Swirl Iced Latte with Milk,Large,460,12,73,14
620,,Medium,350,9,55,11
621,,Small,230,6,37,7
622,Caramel Swirl Iced Latte with Skim Milk,Large,360,0,73,15
623,,Medium,270,0,55,11
624,,Small,190,0,38,8
625,French Vanilla Swirl Iced Latte with Skim Milk,Large,350,0,71,15
626,,Medium,270,0,54,11
627,,Small,180,0,36,8
628,French Vanilla Swirl Iced Latte with Whole Milk,Large,450,12,71,14
629,,Medium,340,9,53,11
630,,Small,230,6,36,7
631,Hazelnut Swirl Iced Latte with Skim Milk,Large,350,0,72,15
632,,Medium,270,0,54,11
633,,Small,180,0,37,8
634,Hazelnut Swirl Iced Latte with Whole Milk,Large,450,12,71,14
635,,Medium,340,9,54,11
636,,Small,230,6,36,7
637,Iced Latte with Almond Milk,Large,160,4.5,28,2
638,,Medium,120,3,21,1
639,,Small,80,2,14,1
640,Iced Latte with Skim Milk,Large,140,0,20,13
641,,Medium,100,0,15,10
642,,Small,70,0,11,7
643,Iced Latte with Skim Milk and Sugar,Large,270,0,55,13
644,,Medium,200,0,41,10
645,,Small,130,0,28,7
646,Iced Latte with Whole Milk,Large,230,12,19,12
647,,Medium,170,9,14,9
648,,Small,120,6,10,6
649,Iced Latte with Whole Milk and Sugar,Large,370,12,54,12
650,,Medium,280,9,40,9
651,,Small,170,6,27,6
652,Mocha Swirl Iced Latte with Milk,Large,460,13,72,13
653,,Medium,350,10,54,10
654,,Small,230,6,37,7
655,Mocha Swirl Iced Latte with Skim Milk,Large,360,1.5,73,14
656,,Medium,270,1,55,11
657,,Small,180,0.5,37,7
658,Caramel Swirl Iced Macchiato with Skim Milk,Large,310,0,66,11
659,,Medium,240,0,49,8
660,,Small,160,0,33,6
661,Caramel Swirl Iced Macchiato with Whole Milk,Large,380,8,65,10
662,,Medium,290,6,49,8
