,Food,Type,Size,Calories,Fat,Carbs,Protein
680,Wild Cherry Pepsi,,12 Oz,150,0g,42g,0g
681,,,20 Oz,250,0g,70g,0g
682,,,2 Liter,850,0g,237g,0g
683,Coffee,,16 Oz,5,0g,0g,1g
684,,,20 Oz,5,0g,0g,1g
685,A&W Cream Soda,,20 Oz,300,0g,78g,0g
686,,,2 Liter,1010,0g,262g,0g
687,A&W Root Beer,,20 Oz,300,0g,78g,0g
688,,,2 Liter,1010,0g,262g,0g
689,Brisk Lemonade,,20 Oz,180,0g,47g,0g
690,,,2 Liter,610,0g,159g,0g
691,Canada Dry,,20 Oz,200,0g,55g,0g
692,,,2 Liter,680,0g,186g,0g
693,Cherry Dr Pepper,,20 Oz,260,0g,71g,0g
694,,,2 Liter,880,0g,240g,0g
695,Cherry Seven Up,,20 Oz,250,0g,65g,0g
696,,,2 Liter,850,0g,220g,0g
697,Cherry Vanilla Dr Pepper,,20 Oz,240,0g,65g,0g
698,,,2 Liter,810,0g,220g,0g
699,Coke,,20 Oz,240,0g,66g,0g
700,,,2 Liter,820,0g,222g,0g
701,Coke Zero,,20 Oz,0,0g,0g,0g
702,,,2 Liter,0,0g,0g,0g
703,Countrytime Strawberry Lemonade,,20 Oz,230,0g,60g,0g
704,,,2 Liter,760,0g,203g,0g
705,Crush Cherry,,20 Oz,290,0g,78g,0g
706,,,2 Liter,980,0g,264g,0g
707,Crush Peach,,20 Oz,310,0g,83g,0g
708,,,2 Liter,1050,0g,281g,0g
709,Crush Pineapple,,20 Oz,320,0g,86g,0g
710,,,2 Liter,1080,0g,291g,0g
711,Diet Coke,,20 Oz,0,0g,0g,0g
712,,,2 Liter,0,0g,0g,0g
713,Diet Dr Pepper,,20 Oz,0,0g,0g,0g
714,,,2 Liter,0,0g,0g,0g
715,Diet Mist TWST,,20 Oz,240,0g,65g,0g
716,,,1.25 Liter,530,0g,137g,0g
717,,,2 Liter,900,0g,234g,0g
718,Mountain Dew Baja Blast,,20 Oz,280,0g,73g,0g
