,Food,Type,Size,Calories,Fat,Carbs,Protein
1077,,Gluten Free,,0,0g,0g,0g
1078,Italian Sausage,Original Crust,Pizza for One,40,3.5g,0g,1g
1079,,,Small,35,3.5g,0g,1g
1080,,,Medium,40,3.5g,0g,2g
1081,,,Large,50,5g,0g,2g
1082,,,Extra Large,50,5g,0g,2g
1083,,Thin Crust,,50,5g,0g,2g
1084,,Pan Crust,,40,3.5g,0g,2g
1085,,Gluten Free,,35,3.5g,0g,1g
1086,Jalapeno,Original Crust,Pizza for One,0,0g,0g,0g
1087,,,Small,0,0g,0g,0g
1088,,,Medium,0,0g,0g,0g
1089,,,Large,0,0g,0g,0g
1090,,,Extra Large,0,0g,0g,0g
1091,,Thin Crust,,0,0g,0g,0g
1092,,Pan Crust,,0,0g,0g,0g
1093,,Gluten Free,,0,0g,0g,0g
1094,Mushroom,Original Crust,Pizza for One,0,0g,0g,0g
1095,,,Small,0,0g,0g,0g
1096,,,Medium,0,0g,0g,0g
1097,,,Large,5,0g,1g,0g
1098,,,Extra Large,5,0g,1g,0g
1099,,Thin Crust,,5,0g,1g,0g
1100,,Pan Crust,,5,0g,0g,0g
1101,,Gluten Free,,0,0g,0g,0g
1102,Onion,Original Crust,Pizza for One,5,0g,1g,0g
1103,,,Small,5,0g,1g,0g
1104,,,Medium,5,0g,1g,0g
1105,,,Large,5,0g,1g,0g
1106,,,Extra Large,5,0g,1g,0g
1107,,Thin Crust,,5,0g,1g,0g
1108,,Pan Crust,,5,0g,1g,0g
1109,,Gluten Free,,5,0g,1g,0g
1110,Pineapple,Original Crust,Pizza for One,5,0g,2g,1g
1111,,,Small,5,0g,2g,1g
1112,,,Medium,5,0g,2g,1g
1113,,,Large,10,0g,2g,2g
1114,,,Extra Large,10,0g,2g,2g
1115,,Thin Crust,,10,0g,2g,2g
1116,,Pan Crust,,5,0g,2g,1g
1117,,Gluten Free,,5,0g,2g,1g
1118,Pepperoni,Original Crust,Pizza for One,40,3.5g,0g,1g
1119,,,Small,30,3g,0g,1g
1120,,,Medium,35,3g,0g,1g
1121,,,Large,50,4.5g,0g,2g
1122,,,Extra Large,50,4.5g,0g,2g
1123,,Thin Crust,,50,4.5g,0g,2g
1124,,Pan Crust,,50,3g,0g,1g
1125,,Gluten Free,,30,3g,0g,1g
1126,Sausage,Original Crust,Pizza for One,45,4.5g,0g,1g
1127,,,Small,40,4g,0g,1g
1128,,,Medium,45,4.5g,0g,1g
1129,,,Large,60,6g,0g,2g
1130,,,Extra Large,60,6g,0g,2g
1131,,Thin Crust,,60,6g,0g,2g
1132,,Pan Crust,,45,4.5g,0g,1g
1133,,Gluten Free,,40,4g,0g,1g
1134,Roma Tomatoes,Original Crust,Pizza for One,0,0g,0g,0g
1135,,,Small,0,0g,0g,0g
1136,,,Medium,0,0g,0g,0g
1137,,,Large,5,0g,1g,0g
1138,,,Extra Large,5,0g,1g,0g
1139,,Thin Crust,,5,0g,1g,0g
1140,,Pan Crust,,5,0g,0g,0g
1141,,Gluten Free,,0,0g,0g,0g
