,Food,Size, 
265,"Jr. French Toast w/ egg whites, turkey bacon
& Appley Ever After® juice
Calories: 360
Fat: 13
Carbs: 40
Protein: 20",,Price
266,"Jr. French Toast (add side)
Calories: 220
Fat: 9
Carbs: 30
Protein: 6",,Price
267,"Jr. Premium Chicken Tenders (add dipping sauce & side)
Calories: 270
Fat: 16
Carbs: 15
Protein: 18",,Price
268,"Add a Chicken Tender
Calories: 140
Fat: 8
Carbs: 8
Protein: 9 ",,Price
269,"Jr. Spaghetti w/ broccoli, bread & Appley Ever After® juice
Calories: 410
Fat: 10
Carbs: 64
Protein: 13",,Price
270,"Jr. Spaghetti w/ tomato sauce & bread (add side)
Calories: 340
Fat: 10
Carbs: 50
Protein: 10",,Price
271,"Add a Meatball
Calories: 160
Fat: 13
Carbs: 4
Protein: 8 ",,Price
272,"Mac & Cheese (add side)
Calories: 300
Fat: 9
Carbs: 44
Protein: 10",,Price
273,"Mini Corn Dogs (add dipping sauce & side)
Calories: 360
Fat: 21
Carbs: 33
Protein: 10",,Price
274,"Apple Dunkers w/ caramel
Calories: 120
Fat: 1.5
Carbs: 26
Protein: 1",,Price
275,"Apple Slices
Calories: 30
Fat: 0
Carbs: 8
Protein: 0 ",,Price
276,"Fresh Banana Slices
Calories: 110
Fat: 0
Carbs: 27
Protein: 1",,Price
277,"Goldfish® Crackers
Calories: 120
Fat: 4
Carbs: 17
Protein: 3",,Price
278,"Grapes
Calories: 60
Fat: 0
Carbs: 14
Protein: 1",,Price
279,"Jr. Garden Salad (add dressing choice)
Calories: 80
Fat: 2.5
Carbs: 13
Protein: 2",,Price
