,Food,Size/Variety,Calories,Fat,Carbs,Protein
214,Butterfinger®,mini & reg,120,4.5,19,1
215,,lrg,240,9,38,2
216,Butterscotch Syrup,mini & reg,90,0,21,0
217,,lrg,180,0,42,0
218,Caramel Fudge,mini & reg,130,1,29,1
219,,lrg,260,2,58,2
220,Cashews,mini & reg,60,5,4,2
221,,lrg,120,10,8,4
222,Cheesecake,mini & reg,60,4,7,1
223,,lrg,120,8,14,2
224,Cherry Topping,mini & reg,60,0,15,0
225,,lrg,120,0,30,0
226,Chocolate Chips,mini & reg,130,8,19,2
227,,lrg,260,16,38,4
228,Chocolate Fudge,mini & reg,150,5,24,0
229,,lrg,300,10,48,0
230,Chocolate Syrup,mini & reg,80,0,21,1
231,,lrg,160,0,42,2
232,Coffee Flavoring,mini & reg,5,0,1,0
233,,lrg,10,0,2,0
234,Cookie Dough,mini & reg,120,6,17,1
235,,lrg,240,12,34,2
236,Gummi Worms,mini & reg,100,0,23,2
237,,lrg,200,0,46,4
238,Heath® Toffee,mini & reg,120,8,14,0
239,,lrg,240,16,28,0
240,M&M's®,mini & reg,170,8,23,2
241,,lrg,340,16,46,4
242,Macadamia Nuts,mini & reg,150,14,3,1
243,,lrg,300,28,6,2
244,Marshmallow,mini & reg,70,0,18,0
245,,lrg,140,0,36,0
246,Mint Flavoring,mini & reg,130,0,31,0
247,,lrg,260,0,62,0
248,Oreo®,mini & reg,70,2.5,10,1
249,,lrg,140,5,20,2
250,Peanut Butter,mini & reg,120,11,4,4
251,,lrg,240,22,8,8
252,Peanuts,mini & reg,110,9,4,4
253,,lrg,220,18,8,8
254,Pecan Halves,mini & reg,120,12,2,2
255,,lrg,240,24,4,4
256,Pecan Pieces,mini & reg,80,8,2,1
257,,lrg,160,16,4,2
258,Pineapple Topping,mini & reg,25,0,6,0
259,,lrg,50,0,12,0
260,Rainbow Sprinkles,mini & reg,70,2.5,13,0
261,,lrg,140,5,26,0
262,Reese's® PB Cup,mini & reg,140,8,16,3
263,,lrg,280,16,32,6
264,Reese's® Pieces,mini & reg,160,8,19,4
265,,lrg,320,16,38,8
266,Snickers®,mini & reg,120,6,15,2
267,,lrg,240,12,30,4
268,Strawberry Topping,mini & reg,45,0,12,0
269,,lrg,90,0,24,0
270,Toasted Coconut,mini & reg,50,4,5,1
271,,lrg,100,8,10,2
272,Pepsi®,Small,160,0,41,0
273,,Medium,260,0,69,0
274,,Large,410,0,110,0
275,Diet Pepsi®,Small,0,0,0,0
276,,Medium,0,0,0,0
277,,Large,0,0,0,0
278,Dr. Pepper®,Small,160,0,40,0
279,,Medium,260,0,66,0
280,,Large,410,0,105,0
281,Diet Dr. Pepper®,Small,0,0,0,0
282,,Medium,0,0,0,0
283,,Large,0,0,0,0
284,Mug® Root Beer,Small,160,0,39,0
285,,Medium,260,0,65,0
286,,Large,410,0,104,0
287,Mountain Dew®,Small,170,0,44,0
288,,Medium,290,0,73,0
289,,Large,460,0,117,0
290,Mist Twist®,Small,160,0,41,0
291,,Medium,260,0,68,0
292,,Large,410,0,108,0
293,Tropicana® Pink Lemonade,Small,160,0,40,0
294,,Medium,260,0,67,0
295,,Large,410,0,107,0
296,Tropicana® Lemonade,Small,160,0,40,0
297,,Medium,260,0,67,0
298,,Large,410,0,107,0
299,Tropicana® Light Lemonade,Small,0,0,0,0
300,,Medium,10,0,0,0
301,,Large,15,0,1,0
302,Tropicana® Fruit Punch,Small,170,0,45,0
303,,Medium,290,0,75,0
304,,Large,460,0,120,0
305,Pepsi® Wild Cherry,Small,160,0,42,0
306,,Medium,260,0,70,0
307,,Large,410,0,112,0
308,Luzianne® Iced Tea Unsweet,Small,0,0,0,0
309,,Medium,0,0,0,0
310,,Large,0,0,0,0
311,Splenda® Sugar Free Sweet Tea,Small,10,0,0,0
312,,Medium,20,0,1,0
313,,Large,30,0,2,0
314,Luzianne® Sugar Sweetened Tea,Small,110,0,27,0
315,,Medium,180,0,46,0
316,,Large,280,0,73,0
317,Lipton Brisk® Raspberry,Small,80,0,20,0
318,,Medium,130,0,33,0
319,,Large,200,0,52,0
320,Lipton Brisk Peach,Small,0,0,0,0
321,,Medium,5,0,0,0
322,,Large,10,0,0,0
323,Diet Mountain Dew®,Small,0,0,0,0
324,,Medium,10,0,1,0
325,,Large,15,0,1,0
326,Mt. Dew CODE RED®,Small,170,0,46,0
327,,Medium,290,0,77,0
328,,Large,460,0,123,0
329,Sobe Lifewater Yumberry Pomegranate,Small,0,0,0,0
330,,Medium,0,0,0,0
331,,Large,0,0,0,0
332,Orange Twister,Small,170,0,46,0
333,,Medium,290,0,76,0
334,,Large,460,0,122,0
