,Food,Size / Variety,Calories,Fat,Carbs,Protein
157,Pina Colada Freeze™,(16 oz),240,0,59,0
158,,(20 oz),300,0,75,0
159,Premium Beer - Light,(16 oz),140,0,8,1
160,Premium Beer - Regular,(16 oz),200,0,17,2
161,Prosecco Sparkling Wine,(350 mL),280,0,9,0
162,Red Cherry Freeze™,(16 oz),240,0,59,0
163,,(20 oz),300,0,75,0
164,Red Sangria,(16 oz),330,0,27,0
165,Red Wine,(6.3 fl oz),160,0,5,0
166,Rum,(80 proof),70,0,0,0
167,Stubborn Soda - Black Cherry Tarragon,(20 oz),240,0,61,0
168,Stubborn Soda - Classic Root Beer,(20 oz),280,0,73,0
169,Tequila,(80 proof),70,0,0,0
170,Vodka,(80 proof),70,0,0,0
171,Blue Raspberry Freeze™ - LV,(16 oz),190,0,49,0
172,,(20 oz),300,0,75,0
173,,(32 oz),360,0,92,0
174,Caleb's Kola - LV,(20 oz),230,0,60,0
175,Cherry Freeze™ - LV,(16 oz),190,0,49,0
176,,(20 oz),300,0,75,0
177,,(32 oz),360,0,92,0
178,Domestic Beer - Light - LV,(16 oz),140,0,8,1
179,Domestic Beer - Regular - LV,(16 oz),200,0,17,2
180,IZZE Sparkling Clementine - LV,(20 oz),180,0,48,0
181,Lemonade Freeze™ - LV,(16 oz),190,0,49,0
182,,(20 oz),300,0,75,0
183,,(32 oz),360,0,92,0
184,Margarita Freeze™ - LV,(16 oz),190,0,49,0
185,,(20 oz),300,0,75,0
186,,(32 oz),360,0,92,0
187,Mtn Dew® Baja Blast Freeze™ - LV,(16 oz),150,0,42,0
188,,(20 oz),230,0,64,0
189,,(32 oz),280,0,78,0
190,Orange Cream Pop Freeze™ - LV,(16 oz),110,0,28,0
191,,(20 oz),160,0,44,0
192,,(32 oz),200,0,53,0
193,Pepsi® Freeze™ - LV,(16 oz),90,0,26,0
194,,(20 oz),140,0,39,0
195,,(32 oz),180,0,48,0
196,Pina Colada Freeze™- LV,(16 oz),190,0,49,0
197,,(20 oz),300,0,75,0
198,,(32 oz),360,0,92,0
199,Premium Beer - Light - LV,(16 oz),140,0,8,1
200,Premium Beer - Regular - LV,(16 oz),200,0,17,2
201,Red Sangria - LV,(16 oz),330,0,27,0
202,Red Wine - LV,(8 fl oz),200,0,6,0
203,Rum (80 proof) - LV,Double,250,0,0,0
204,,Single,120,0,0,0
205,Strawberry Flavor Shot - LV,(16 oz),0,0,<1,0
206,,(32 oz),0,0,1,0
207,Stubborn Soda - Black Cherry Taragon - LV,(20 oz),240,0,61,0
208,Stubborn Soda - Classic Root Beer - LV,(20 oz),280,0,73,0
209,Tequila (80 proof) - LV,Double,250,0,0,0
210,,Single,120,0,0,0
211,Vanilla Flavor Shot - LV,(16 oz),0,0,<1,0
212,,(32 oz),0,0,1,0
213,Vodka (80 proof) - LV,Double,250,0,0,0
214,,Sinlge,120,0,0,0
215,Whiskey (80 proof) - LV,Double,250,0,0,0
216,,Sinlge,120,0,0,0
217,White Sangria - LV,(16 oz),340,0,29,0
218,White Wine - LV,(8 fl oz),190,0,6,0
219,Aquafina® Sparkling Berry Breeze,16 OZ,0,0,0,0
220,Brisk® Iced Tea and Lemonade,16 OZ,80,0,22,0
221,Brisk® Mango Iced Tea,16 OZ,100,0,26,0
222,Brisk® No Calorie Peach Iced Green Tea,16 OZ,0,0,0,0
223,Brisk® Raspberry Iced Tea,16 OZ,100,0,26,0
224,Brisk® Sweet Iced Tea,16 OZ,110,0,29,0
225,Brisk® Unsweetened No Lemon Iced Tea,16 OZ,0,0,0,0
226,Diet Dr Pepper®,16 OZ,0,0,0,0
227,Diet Mtn Dew®,16 OZ,5,0,1,0
228,Diet Pepsi®,16 OZ,0,0,0,0
229,Dr Pepper®,16 OZ,190,0,52,0
230,G2 - Fruit Punch,16 OZ,30,0,7,0
231,Lipton® Brewed Iced Tea Sweetened,16 OZ,140,0,36,0
232,Lipton® Brewed Iced Tea Unsweetened,16 OZ,0,0,0,0
233,Manzanita Sol,16 OZ,210,0,58,0
234,Mist Twst®,16 OZ,200,0,54,0
235,Mtn Dew®,16 OZ,220,0,59,0
236,Mtn Dew® Baja Blast™,16 OZ,220,0,59,0
237,Mtn Dew® Code Red,16 OZ,230,0,62,0
238,Mtn Dew® Kickstart™ Orange Citrus,16 OZ,70,0,18,0
239,Mtn Dew® Spiked Lemonade,16 OZ,130,0,35,0
240,Mug® Root Beer,16 OZ,190,0,52,0
241,Pepsi®,16 OZ,200,0,55,0
242,Pepsi® Wild Cherry,16 OZ,210,0,56,0
243,Pepsi® Zero Sugar,16 OZ,0,0,0,0
244,Sobe Lifewater® Yumberry Pomegranate - 0 Cal,16 OZ,0,0,0,0
245,Tropicana® Fruit Punch,16 OZ,230,0,60,0
246,Tropicana® Lemonade,16 OZ,210,0,54,0
247,Tropicana® Pink Lemonade,16 OZ,210,0,53,0
248,Aquafina® Sparkling Berry Breeze,20 OZ,0,0,0,0
249,Brisk® Iced Tea and Lemonade,20 OZ,110,0,28,0
250,Brisk® Mango Iced Tea,20 OZ,120,0,32,0
251,Brisk® No Calorie Peach Iced Green Tea,20 OZ,5,0,0,0
252,Brisk® Raspberry Iced Tea,20 OZ,130,0,33,0
253,Brisk® Sweet Iced Tea,20 OZ,130,0,36,0
254,Brisk® Unsweetened No Lemon Iced Tea,20 OZ,0,0,0,0
255,Diet Dr Pepper®,20 OZ,0,0,0,0
256,Diet Mtn Dew®,20 OZ,10,0,1,0
257,Diet Pepsi®,20 OZ,0,0,0,0
258,Dr Pepper®,20 OZ,240,0,65,0
259,G2 - Fruit Punch,20 OZ,35,0,9,0
260,Lipton® Brewed Iced Tea Sweetened,20 OZ,170,0,45,0
261,Lipton® Brewed Iced Tea Unsweetened,20 OZ,0,0,0,0
262,Manzanita Sol,20 OZ,260,0,73,0
263,Mist Twst®,20 OZ,260,0,68,0
264,Mtn Dew®,20 OZ,270,0,73,0
265,Mtn Dew® Baja Blast™,20 OZ,280,0,74,0
266,Mtn Dew® Code Red,20 OZ,290,0,77,0
267,Mtn Dew® Kickstart™ Orange Citrus,20 OZ,90,0,23,0
268,Mtn Dew® Spiked Lemonade,20 OZ,170,0,43,0
269,Mug® Root Beer,20 OZ,240,0,65,0
270,Pepsi®,20 OZ,250,0,69,0
271,Pepsi® Wild Cherry,20 OZ,260,0,70,0
