,Food,Size / Variety,Calories,Fat,Carbs,Protein
153,Cranberry Blueberry Bran,,280,13,53,5
154,Fruit Explosion,,350,11,57,5
155,Lemon Poppyseed,,390,16,56,6
156,Low Fat Double Berry,,290,2.5,59,4
157,Oatmeal Raisin Nut,,390,14,59,6
158,Raisin Bran,,370,12,64,5
159,Strawberry Sensation,,360,11,57,5
160,Triple Chocolate,,400,15,63,5
161,Whole Grain Blueberry,,350,14,53,5
162,Whole Grain Carrot Orange,,360,13,57,5
163,Whole Grain Raspberry,,380,15,55,5
164,Blueberry,,280,2,58,9
165,Cheddar Cheese,,210,3,40,9
166,Cinnamon Raisin,,300,2,63,9
167,Everything,,300,3.5,57,10
168,Onion,,290,2,59,10
169,Plain,,290,2,58,10
170,Sesame Seed,,300,3.5,57,10
171,12 Grain,,350,9,55,11
172,Wheat ‘N Honey,,290,3,58,10
173,Jalapeno Asiago Mozzarella,,310,3.5,58,12
174,Maple Cinamon French Toast,,350,4,67,10
175,Sundried Tomato Asiago Parm,,320,4.5,59,12
176,Plain Cream Cheese Spread,,140,14,2,3
177,Light Plain Cream Cheese Spread,,100,8,2,4
178,Light Strawberry Cream Cheese Spread,,100,6,8,3
179,Herb and Garlic Cream Cheese Spread,,140,13,2,3
180,Butter,,70,8,0,0
181,Margarine,,50,6,0,0
182,Peanut Butter,,110,9,5,3
183,Strawberry Jam,,60,0,14,0
184,Cinnamon Roll,Chocolate,420,22,52,4
185,,Frosted,460,24,58,4
186,,Glazed,410,22,49,4
187,Croissant,Cheese,310,17,30,7
188,,Plain,280,15,30,6
189,Danish,Blueberry,380,16,52,6
190,,Caramel Apple,290,16,32,5
191,,Cherry Cheese,370,16,50,5
192,,Chocolate,450,25,52,7
193,,Maple Pecan,400,19,53,7
194,Homestyle Biscuit,,210,8,29,6
195,Strudel,Apple,150,8,18,2
196,,Strawberry Cheese,160,3.5,18,2
197,Tea Biscuit,Cheese,300,14,36,9
198,,Ham & Cheese,290,13,34,9
199,,Plain,240,9,35,5
200,,Raisin,280,9,46,6
201,Creamy Vanilla with Berries,,160,2,33,4
202,Strawberry with Berries,,140,2.5,27,4
203,Chili,,290,16,20,18
204,Beef Noodle Soup,,130,1,24,6
205,Cauliflower Cheese Soup,,170,12,12,6
206,Chicken Noodle Soup,,110,1.5,19,5
207,Clam Chowder,,190,7,23,9
208,Cream of Broccoli Soup,,150,7,16,6
209,Creamy Field Mushroom Soup,,150,3,29,2
210,Creamy Sundried Tomato Soup,,210,13,19,5
211,French Onion Soup,,230,9,26,10
212,Hearty Potato Bacon Soup,,230,13,22,6
213,Hearty Vegetable Soup,,80,0.4,14,4
214,Italian Wedding Soup,,160,3,28,4
215,Minestrone Soup,,120,1,25,4
216,Split Pea with Ham Soup,,150,1.5,26,7
217,Tomato Whole Grain Pasta Soup,,140,1,29,4
218,Turkey and Wild Rice Soup,,120,1,23,5
219,Mini Whole Wheat Buns,,110,0.5,21,4
220,Regular White Buns,,210,1,42,7
221,Regular Whole Wheat Buns,,200,1,40,8
