,Food,Calories,Total Fat,Cholesterol,Carbs,Fiber,Sugars,Protein
117,"Iced Coffee--
French Vanilla
(Small)","120 
",4.5,15,22,0,19,1
118,"Iced Coffee--
Hazelnut
(Small)","130 
",4.5,15,21,0,20,1
119,"Iced Coffee--
Regular (Small)","140
",4.5,15,23,0,22,1
120,Coffee (Large),0,0,0,0,0,0,0
121,Coffee (Medium),0,0,0,0,0,0,0
122,"Iced Coffee with
Sugar Free
French Vanilla
Syrup (Large)",160 ,9,35,18,0,2,2
123,"Iced Coffee with
Sugar Free
French Vanilla
Syrup (Medium)","120 
",7,25,12,0,2,1
124,"Iced Coffee with
Sugar Free
French Vanilla
Syrup (Small)","80 
",4.5,15,9,0,1,1
125,"Iced Coffee--
Caramel (Large)",260 ,9,35,43,0,42,2
126,"Iced Coffee--
Caramel
(Medium)","180
",7,50,29,0,28,1
127,"Iced Coffee--
French Vanilla
(Large)",240 ,9,35,41,0,39,2
128,"Iced Coffee--
French Vanilla
(Medium)","170 
",7,25,27,0,26,1
129,"Iced Coffee--
Hazelnut
(Large)",250 ,9,35 ,43,0,41,2
130,"Blueberry
Pomegranate
Smoothie
(Small)","220
",.05,5,50,3,44,2
131,"Strawberry
Banana
Smoothie
(Small)","210
",0.5,5,47,3,44,3
132,"Mango Pineapple
Smoothie
(Small)",210,0.5,5,50,1,46,2
