,Food,Size / Variety,Calories,Fat,Carbs,Protein
186,,Large,680,9,149,3
187,Mango Pineapple,Small,250,0.2,62,0
188,,Medium,330,0.3,83,0.5
189,,Large,490,0.4,125,0.5
190,Tripleberry®,Small,360,4.5,79,1
191,,Medium,490,7,108,2
192,,Large,710,9,158,3
193,Piña Colada,Small,380,4.5,84,1
194,,Medium,510,7,112,2
195,,Large,760,9,168,2
196,Berry-Pom,Small,260,0.2,66,0
197,,Medium,350,0.2,88,0
198,,Large,530,0.4,132,0.5
199,Orange,Small,210,0.1,53,0.5
200,,Medium,280,0.1,69,1
201,,Large,430,0.2,106,1
202,Strawberry,Small,230,0.3,58,0
203,,Medium,310,0.4,77,0.5
204,,Large,460,0.5,116,1
205,Vitamin C,,20,---,5,---
206,Antioxidant,,20,---,5,---
207,Energy,,20,---,5,---
208,Fibre,,20,0.1,9,---
209,Banana Drink,Small,25,0,1,0
210,,Medium,40,0.2,11,1
211,,Large,60,0.2,14,1
212,Protein,,35,0.2,2,7
213,1/4 lb. Bacon Cheese GrillBurger™,,600,35,38,33
214,1/4 lb. FlameThrower® GrillBurger,,720,50,35,33
215,1/4 lb. Mushroom Swiss GrillBurger,,550,33,38,26
216,1/2 lb. GrillBurger with Cheese,,700,39,42,46
217,1/4 lb. GrillBurger with Cheese,,510,27,42,26
218,Original Cheeseburger,,370,18,31,21
219,Original Double Cheeseburger,,580,34,31,37
220,DQ Ultimate ® Burger,,720,46,32,45
221,Chicken Strip Basket ™,4pc w/Gravy,810,40,78,35
222,,6pc w/ Gravy,1050,53,92,50
223,Chicken Quesadilla Basket,,930,48,86,40
224,Veggie Quesadilla Basket,,860,47,85,27
225,Iron Grilled Turkey Sandwich,,540,28,43,30
226,Iron Grilled Supreme BLT Sandwich,,630,36,41,27
227,Iron Grilled Cheese Sandwich,,360,13,41,16
228,Crispy Chicken Sandwich,,530,28,50,23
229,Grilled Chicken Sandwich,,360,16,30,25
230,Crispy Chicken Salad,,450,24,28,31
231,Grilled Chicken Salad,,330,15,14,36
232,Side Salad,,25,0,5,1
233,Crispy Chicken Wrap,,360,21,29,13
234,Grilled Chicken Wrap,,290,15,22,15
235,Crispy FlameThrower Chicken Wrap,,370,22,29,13
236,Grilled FlameThrower Chicken Wrap,,300,16,22,16
237,3 Chicken Strips,,350,20,22,22
238,Chili Cheese Dog,,340,20,24,15
239,Hot Dog,,260,15,22,11
240,Hot Dog Kids’ Meal,,260,15,22,11
241,Cheeseburger Kids’ Meal,,370,18,31,21
242,Hamburger Kids’ Meal,,320,14,31,19
243,2 Chicken Strips Kids’ Meal,,230,13,14,15
244,Iron Grilled Cheese Sandwich Kids’ Meal,,360,13,41,16
245,Turkey Wrap,,260,12,25,12
246,Kids’ Fries,,260,11,38,3
247,Applesauce,,90,0.2,23,0.2
248,Banana,,110,0.4,29,1
249,Kids’ Strawberry Banana Smoothie,,190,0.4,47,1
250,French Fries,Kids',260,11,38,3
251,,Regular,290,12,43,3
252,,Large,480,20,70,5
