,Food,Size/Variety,Calories,Fat,Carbs,Protein
132,#7) Medium,2 Beer Battered Fish Tacos,780 - 1080,---,---,---
133,#7) Macho,2 Beer Battered Fish Tacos,930 - 1350,---,---,---
134,#8) Small,Spicy Grilled Chicken Burrito & Grilled,950 - 1150,---,---,---
135,#8) Medium,Spicy Grilled Chicken Burrito & Grilled,1060 - 1360,---,---,---
136,#8) Macho,Spicy Grilled Chicken Burrito & Grilled,1210 - 1630,---,---,---
137,#9) Small,Del Beef Burrito & The Del Taco,1020 - 1220,---,---,---
138,#9) Medium,Del Beef Burrito & The Del Taco,1130 -1430,---,---,---
139,#9) Macho,Del Beef Burrito & The Del Taco,1280 - 1700,---,---,---
140,#10) Small,Macho Combo Burrito™,1160 - 1360,---,---,---
141,#10) Medium,Macho Combo Burrito™,1270 - 1570,---,---,---
142,#10) Macho,Macho Combo Burrito™,1420 - 1840,---,---,---
143,Fiesta Pack,6 Value Tacos &,3480 - 3600,---,---,---
144,Fiesta Pack,Upgrade to Del Tacos,4560 - 4680,---,---,---
145,Fiesta Pack,Upgrade to Grilled Chicken Tacos,3960 - 4080,---,---,---
146,Meal (Small Fries & Small Drink),Epic Carne Asada Burrito,960 - 1160,---,---,---
147,,Epic Grilled Chicken Avocaod Burrito,1050 - 1250,---,---,---
148,,Epic Bacon Ranch Chicken Avocado Burrito,1190 - 1390,---,---,---
149,,Epic Steak & Potato Burrito,1250 - 1450,---,---,---
150,,Epic Cali Steak & Guac Burrito,1010 - 1210,---,---,---
151,,Macho Combo Burrito,1160 - 1360,---,---,---
152,Meal (Medium Drink Only),Epic Carne Asada Burrito,750 - 1050,---,---,---
153,,Epic Grilled Chicken Avocaod Burrito,840 - 1140,---,---,---
154,,Epic Bacon Ranch Chicken Avocado Burrito,980 - 1280,---,---,---
155,,Epic Steak & Potato Burrito,1040 - 1340,---,---,---
156,,Epic Cali Steak & Guac Burrito,800 - 1100,---,---,---
157,,Macho Combo Burrito,950 - 1250,---,---,---
158,Breakfast Burrito (Bacon) Combo,Small,870 - 1070,---,---,---
159,,Medium,870 - 1170,---,---,---
160,,Macho,870 - 1290,---,---,---
161,Breakfast Burrito (Chorizo) Combo,Small,750 - 950,---,---,---
162,,Medium,750 - 1050,---,---,---
163,,Macho,750 - 1170,---,---,---
164,Brakfast Burrito (Carne Asada) Combo,Small,730 - 930,---,---,---
165,,Medium,730 - 1030,---,---,---
166,,Macho,730 - 1150,---,---,---
167,Breakfast Burrito Meal,Small,660 - 860,---,---,---
168,,Medium,660 - 960,---,---,---
169,,Macho,660 - 1080,---,---,---
170,Epic Scrambler (Bacon) Combo,Small,1270 - 1470,---,---,---
171,,Medium,1270 - 1570,---,---,---
172,,Macho,1270 - 1690,---,---,---
173,Epic Scrambler (Carne Asada) Combo,Small,190 - 1390,---,---,---
174,,Medium,1190 - 1490,---,---,---
175,,Macho,1190 - 1610,---,---,---
176,Epic Scrambler (Chorizo) Combo,Small,1260 - 1460,---,---,---
177,,Medium,1260 - 1560,---,---,---
178,,Macho,1260 - 1680,---,---,---
179,Epic Scrambler (Huevos Rancheros) Combo,Small,1350 - 1550,---,---,---
180,,Medium,1350 - 1650,---,---,---
181,,Macho,1350 - 1770,---,---,---
182,Kid's Hamburger,,490 - 610,---,---,---
183,Kid's Quesadilla,,290 - 410,---,---,---
184,Kid's Value Taco,,290 - 410,---,---,---
185,Kid's Value Bean & Cheese Burrito,Green,470 - 590,---,---,---
186,,Red,480 - 600,---,---,---
187,Prima Java Hot Coffee,,10,0,2,
188,Prima Java Iced Coffee,,140,1.5,29,
189,,Large,240,2,49,
190,Milk (2%),,130,3,13,
191,Simply Orange,,160,0,37,
192,Bottled Water,,0,0,0,
193,Fountain Drink (Real Strawberry Lemonade),,35,0,8,
194,Fountain Drink (Real Strawberry Lemonade),KID'S (12 oz),120,0,33,0
195,,SMALL (20 oz),200,0,55,0
196,,MEDIUM (30 oz),300,0,82,0
197,,MACHO (42 oz),420,0,0,0
198,Fountain Drink (Cherry Coke),KID'S (12 oz),120,0,31,0
199,,SMALL (20 oz),190,0,42,0
200,,MEDIUM (30 oz),290,0,79,0
201,,MACHO (42 oz),400,0,110,0
202,Fountain Drink (Coca-Cola Zero Sugar),KID'S (12 oz),0,0,0,0
203,,SMALL (20 oz),0,0,0,0
204,,MEDIUM (30 oz),0,0,0,0
205,,MACHO (42 oz),0,0,0,0
206,Fountain Drink (Coca-Cola),KID'S (12 oz),110,0,30,0
207,,SMALL (20 oz),180,0,50,0
208,,MEDIUM (30 oz),280,0,75,0
209,,MACHO (42 oz),390,0,105,0
210,Fountain Drink (Diet Coke),KID'S (12 oz),0,0,0,0
211,,SMALL (20 oz),0,0,0,0
212,,MEDIUM (30 oz),0,0,0,0
213,,MACHO (42 oz),0,0,0,0
